annee,filiere,capacite_maximale_de_production_MWe
2021,Nucléaire,61370.0
2021,Charbon,1177.6
2021,Fioul,3482.74706
2021,Gaz,3529.251084
2021,Hydraulique,20500.647072
2021,Géothermie,0.8864
2021,Eolien,1655.07356
2021,Solaire,396.646392
2021,Biomasse,182.2309498
2021,Energie marine,240.0
2021,Fioul,917.4492
2021,Gaz,20676.296774
2021,Autres ENR,2278.081056
2021,Divers,5762.030706
2020,Nucléaire,61370.0
2020,Charbon,1757.6
2020,Fioul,3607.3818818
2020,Gaz,3657.9927926
2020,Hydraulique,20484.350464
2020,Géothermie,0.8864
2020,Eolien,1545.76576
2020,Solaire,290.725392
2020,Biomasse,208.2923036
2020,Energie marine,240.0
2020,Divers,31.9788012
2020,Charbon,63.71175
2020,Fioul,926.463788
2020,Gaz,20157.678132
2020,Autres ENR,2442.762188
2020,Divers,6226.751706
2019,Nucléaire,63130.0
2019,Charbon,1757.5758
2019,Fioul,4032.64770602
2019,Gaz,3328.83927
2019,Hydraulique,20547.6268578
2019,Géothermie,0.8864
2019,Eolien,1503.26576
2019,Solaire,260.29741904
2019,Biomasse,230.824776
2019,Energie marine,240.0
2019,Divers,58.235038
2019,Charbon,140.935388
2019,Fioul,926.463788
2019,Gaz,20157.678132
2019,Autres ENR,2441.173142
2019,Divers,6277.221406
