centrale,filiere,sous_filiere,combustible,code_insee_region,region,departement,code_insee_departement,date_de_mise_en_service_industrielle,puissance_installee,unite
BELLEVILLE,Nucléaire,Réacteur à eau pressurisée (REP) 1300,Uranium Enrichi,24.0,CENTRE-VAL DE LOIRE,CHER,18.0,1988-06-01,1310.0,MW
BELLEVILLE,Nucléaire,Réacteur à eau pressurisée (REP) 1300,Uranium Enrichi,24.0,CENTRE-VAL DE LOIRE,CHER,18.0,1989-01-01,1310.0,MW
BLAYAIS (LE),Nucléaire,Réacteur à eau pressurisée (REP) 900,Multi-oxyde d’uranium et de plutonium,75.0,NOUVELLE-AQUITAINE,GIRONDE,33.0,1981-12-01,910.0,MW
BLAYAIS (LE),Nucléaire,Réacteur à eau pressurisée (REP) 900,Multi-oxyde d’uranium et de plutonium,75.0,NOUVELLE-AQUITAINE,GIRONDE,33.0,1983-02-01,910.0,MW
BLAYAIS (LE),Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,75.0,NOUVELLE-AQUITAINE,GIRONDE,33.0,1983-11-14,910.0,MW
BLAYAIS (LE),Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,75.0,NOUVELLE-AQUITAINE,GIRONDE,33.0,1983-10-01,910.0,MW
BUGEY (LE),Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,84.0,AUVERGNE-RHONE-ALPES,AIN,1.0,1979-03-01,910.0,MW
BUGEY (LE),Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,84.0,AUVERGNE-RHONE-ALPES,AIN,1.0,1979-03-01,910.0,MW
BUGEY (LE),Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,84.0,AUVERGNE-RHONE-ALPES,AIN,1.0,1979-07-01,880.0,MW
BUGEY (LE),Nucléaire,Réacteur à eau pressurisée (REP) 900,Uranium Enrichi,84.0,AUVERGNE-RHONE-ALPES,AIN,1.0,1980-01-03,880.0,MW
CATTENOM,Nucléaire,Réacteur à eau pressurisée (REP) 1300,Uranium Enrichi,44.0,GRAND EST,MOSELLE,57.0,1987-04-01,1300.0,MW
CATTENOM,Nucléaire,Réacteur à eau pressurisée (REP) 1300,Uranium Enrichi,44.0,GRAND EST,MOSELLE,57.0,1988-02-01,1300.0,MW
