code_reg,capacite_de_production_gwh_an,augmentation_prevue
11,13.407,Aucune augmentation supplémentaire prévue
11,16.9822,Augmentation prévue
11,14.3008,Augmentation prévue
11,4.11148,Aucune augmentation supplémentaire prévue
11,22.345,Aucune augmentation supplémentaire prévue
11,16.9822,Augmentation prévue
11,16.5353,Augmentation prévue
11,12.5132,Augmentation prévue
11,15.1946,Augmentation prévue
11,17.876,Aucune augmentation supplémentaire prévue
11,7.5973,Augmentation prévue
11,12.5132,Augmentation prévue
11,15.6415,Augmentation prévue
11,17.876,Augmentation prévue
11,12.5132,Augmentation prévue
11,12.5132,Augmentation prévue
11,12.5132,Augmentation prévue
11,22.345,Augmentation prévue
11,12.5132,Augmentation prévue
11,16.9822,Augmentation prévue
11,122.8975,Aucune augmentation supplémentaire prévue
11,12.5132,Augmentation prévue
11,12.9601,Aucune augmentation supplémentaire prévue
11,22.345,Aucune augmentation supplémentaire prévue
11,16.9822,Augmentation prévue
11,22.345,Aucune augmentation supplémentaire prévue
11,13.407,Aucune augmentation supplémentaire prévue
11,12.5132,Augmentation prévue
11,18.3229,Augmentation prévue
11,5.8097,Aucune augmentation supplémentaire prévue
11,21.4512,Augmentation prévue
11,25.9202,Augmentation prévue
11,12.5132,Augmentation prévue
11,12.5132,Augmentation prévue
11,13.407,Aucune augmentation supplémentaire prévue
11,12.5132,Augmentation prévue
11,12.5132,Augmentation prévue
11,17.16096,Augmentation prévue
11,20.5574,Augmentation prévue
11,23.2388,Augmentation prévue
11,12.5132,Augmentation prévue
11,12.5132,Augmentation prévue
11,28.6016,Augmentation prévue
11,27.2609,Aucune augmentation supplémentaire prévue
11,13.8539,Augmentation prévue
11,16.0884,Augmentation prévue
11,8.938,Augmentation prévue
24,16.9822,Aucune augmentation supplémentaire prévue
24,13.407,
24,13.407,Augmentation prévue
24,10.2787,Aucune augmentation supplémentaire prévue
24,21.98748,Aucune augmentation supplémentaire prévue
24,8.0442,Aucune augmentation supplémentaire prévue
24,12.0663,Augmentation prévue
24,22.345,Aucune augmentation supplémentaire prévue
24,7.1504,Augmentation prévue
24,13.407,Aucune augmentation supplémentaire prévue
24,22.345,Aucune augmentation supplémentaire prévue
24,9.8318,Augmentation prévue
24,17.876,Aucune augmentation supplémentaire prévue
24,25.65206,Aucune augmentation supplémentaire prévue
24,22.345,Augmentation prévue
24,12.5132,Aucune augmentation supplémentaire prévue
24,15.6415,Aucune augmentation supplémentaire prévue
24,11.1725,Augmentation prévue
24,12.5132,Augmentation prévue
24,12.5132,Aucune augmentation supplémentaire prévue
24,14.3008,Augmentation prévue
24,17.876,Augmentation prévue
24,19.6636,Aucune augmentation supplémentaire prévue
24,13.407,Aucune augmentation supplémentaire prévue
24,22.345,Aucune augmentation supplémentaire prévue
24,9.8318,Aucune augmentation supplémentaire prévue
24,16.0884,Aucune augmentation supplémentaire prévue
27,17.876,Augmentation prévue
27,15.1946,Aucune augmentation supplémentaire prévue
27,11.6194,Aucune augmentation supplémentaire prévue
27,13.407,Aucune augmentation supplémentaire prévue
27,28.0,Aucune augmentation supplémentaire prévue
27,17.876,Augmentation prévue
27,8.938,Aucune augmentation supplémentaire prévue
27,13.407,Aucune augmentation supplémentaire prévue
27,23.32818,Aucune augmentation supplémentaire prévue
