annee,filiere,production_MWh
2021,Nucléaire,354394.205
2021,Charbon,3097.606
2021,Fioul,5218.7929
2021,Gaz,9800.98476508
2021,Hydraulique,43330.7899136
2021,Eolienne,3396.2569246
2021,Solaire,349.848924399999
2021,Géothermie,3.7459264
2021,Biomasse,767.7651405
2021,Energie marine,543.049
2021,Divers,118.988564
2021,Charbon,15.6710738195347
2021,Fioul,221.085093684972
2021,Gaz,14597.6366149675
2021,Divers,374.620492381667
2021,ENR,7848.24067660148
2020,Nucléaire,330004.38633
2020,Charbon,1143.633
2020,Fioul,4688.46812992
2020,Gaz,10310.9313863
2020,Hydraulique,46097.316304
2020,Eolienne,3466.638208
2020,Solaire,293.78224712
2020,Géothermie,2.4376
2020,Biomasse,886.981992157
2020,Energie marine,539.947
2020,Divers,237.977012217
2020,Charbon,14.40095424
2020,Fioul,206.146258188
2020,Gaz,12865.8171787
2020,Divers,672.268023364
2020,ENR,8524.77091302
2019,Nucléaire,368131.21913
2019,Charbon,927.388841333
2019,Fioul,4825.69600362
2019,Gaz,11978.1062586
2019,Hydraulique,41336.8801009
2019,Eolienne,3230.9025686
2019,Solaire,260.210142955
2019,Géothermie,3.714016
2019,Biomasse,1044.1894516
2019,Energie marine,531.652
2019,Divers,264.5941482
2019,Charbon,94.1075016
2019,Fioul,266.7828342
2019,Gaz,14395.6913996
2019,Divers,3069.10743
2019,ENR,8479.3125536
