annee,production_electricite_MWh,filiere
2003,667.0,bioénergie
2004,772.0,bioénergie
2005,927.0,bioénergie
2006,1041.0,bioénergie
2007,953.0,bioénergie
2008,986.0,bioénergie
2009,1030.0,bioénergie
2010,1223.0,bioénergie
2011,1240.0,bioénergie
2012,1346.0,bioénergie
2013,1496.0,bioénergie
2014,1598.0,bioénergie
2015,1703.0,bioénergie
2016,1918.0,bioénergie
2017,1953.0,bioénergie
2018,2046.0,bioénergie
2019,2106.0,bioénergie
2020,2171.0,bioénergie
2021,2353.619502724674,bioénergie
2022,2426.193847107801,bioénergie
2023,2494.6537874171568,bioénergie
2024,2682.134007962413,bioénergie
2025,2758.876453358597,bioénergie
2026,2831.4507977416106,bioénergie
2027,2899.9107380507444,bioénergie
2028,3087.3909585960464,bioénergie
2029,3164.1334039920457,bioénergie
2030,3236.707748375197,bioénergie
1950,13700000.0,charbon
1951,13600000.0,charbon
1952,14300000.0,charbon
1953,16100000.000000002,charbon
1954,16800000.0,charbon
1955,18600000.0,charbon
1956,21200000.0,charbon
1957,25600000.0,charbon
1958,22500000.0,charbon
1959,23400000.0,charbon
1960,21000000.0,charbon
1961,25100000.0,charbon
1962,31900000.0,charbon
1963,29500000.0,charbon
1964,38100000.0,charbon
1965,36200000.0,charbon
1966,36600000.0,charbon
1967,43500000.0,charbon
1968,43300000.0,charbon
1969,46500000.0,charbon
1970,37900000.0,charbon
1971,39300000.0,charbon
1972,31400000.0,charbon
1973,28200000.0,charbon
1974,27900000.0,charbon
1975,30500000.0,charbon
1976,47700000.0,charbon
1977,47900000.0,charbon
1978,54900000.0,charbon
1979,60600000.0,charbon
1980,60200000.0,charbon
1981,50000000.0,charbon
1982,57100000.0,charbon
1983,52400000.0,charbon
1984,45300000.0,charbon
1985,38200000.0,charbon
1986,28400000.0,charbon
1987,24900000.0,charbon
1988,22900000.0,charbon
1989,30000000.0,charbon
1990,29400000.0,charbon
1991,37300000.0,charbon
1992,32700000.000000004,charbon
1993,17500000.0,charbon
1994,20500000.0,charbon
1995,23100000.0,charbon
1996,26200000.0,charbon
1997,21200000.0,charbon
1998,32600000.0,charbon
1999,26900000.0,charbon
2000,25800000.0,charbon
2001,19700000.0,charbon
2002,22200000.0,charbon
2003,24800000.0,charbon
2004,23000000.0,charbon
2005,25900000.0,charbon
2006,21600000.0,charbon
2007,23200000.0,charbon
2008,21400000.0,charbon
2009,20700000.0,charbon
2010,19100000.0,charbon
2011,13000000.0,charbon
2012,17400000.0,charbon
2013,19900000.0,charbon
2014,8400000.0,charbon
2015,8600000.0,charbon
2016,7300000.0,charbon
2017,9800000.0,charbon
2018,5800000.0,charbon
2019,1600000.0,charbon
2020,1400000.0,charbon
2021,9989840.766919054,charbon
2022,10046147.65220358,charbon
2023,10246678.0701935,charbon
2024,7116859.569932075,charbon
2025,7027616.306439646,charbon
2026,7083923.191727039,charbon
2027,7284453.609722301,charbon
2028,4154635.10945829,charbon
2029,4065391.8459720463,charbon
2030,4121698.7312554345,charbon
2001,0.0,éolien
2002,0.0,éolien
2003,400000.0,éolien
2004,600000.0,éolien
2005,1000000.0,éolien
2006,2300000.0,éolien
2007,4000000.0,éolien
2008,5600000.0,éolien
2009,7900000.0,éolien
2010,9700000.0,éolien
2011,12100000.0,éolien
2012,14900000.0,éolien
2013,15900000.0,éolien
2014,17100000.0,éolien
2015,21100000.0,éolien
2016,20900000.0,éolien
2017,24100000.0,éolien
2018,28100000.0,éolien
2019,33800000.0,éolien
2020,39700000.0,éolien
2021,36701282.354135536,éolien
2022,39156176.07377967,éolien
2023,41659831.06581876,éolien
2024,42086834.79342515,éolien
2025,44492232.40612359,éolien
2026,46947126.12576976,éolien
2027,49450781.11781117,éolien
2028,49877784.845415786,éolien
2029,52283182.45811877,éolien
2030,54738076.177761815,éolien
1960,3600000.0,gaz
1961,4800000.0,gaz
1962,5700000.0,gaz
1963,5100000.0,gaz
1964,4099999.9999999995,gaz
1965,3100000.0,gaz
1966,3700000.0,gaz
1967,4099999.9999999995,gaz
1968,5200000.0,gaz
1969,6400000.0,gaz
1970,6300000.0,gaz
1971,7100000.0,gaz
1972,8900000.0,gaz
1973,9300000.0,gaz
1974,10100000.0,gaz
1975,11400000.0,gaz
1976,9800000.0,gaz
1977,8700000.0,gaz
1978,5800000.0,gaz
1979,7900000.0,gaz
1980,5900000.0,gaz
1981,5200000.0,gaz
1982,5000000.0,gaz
1983,4600000.0,gaz
1984,3500000.0,gaz
1985,3000000.0,gaz
1986,2700000.0,gaz
1987,2200000.0,gaz
1988,2000000.0,gaz
1989,2300000.0,gaz
1990,2800000.0,gaz
1991,2700000.0,gaz
1992,2800000.0,gaz
1993,3100000.0,gaz
1994,3300000.0,gaz
1995,3300000.0,gaz
1996,4000000.0,gaz
1997,5000000.0,gaz
1998,5200000.0,gaz
1999,7400000.0,gaz
2000,10900000.0,gaz
2001,6500000.0,gaz
2002,7800000.0,gaz
2003,7400000.0,gaz
2004,8600000.0,gaz
2005,11000000.0,gaz
2006,10100000.0,gaz
2007,10600000.0,gaz
2008,21200000.0,gaz
2009,24100000.0,gaz
2010,29900000.0,gaz
2011,30900000.0,gaz
2012,24000000.0,gaz
2013,19900000.0,gaz
2014,14300000.0,gaz
2015,21900000.0,gaz
2016,35400000.0,gaz
2017,41100000.0,gaz
2018,31200000.0,gaz
2019,38500000.0,gaz
2020,34500000.0,gaz
2021,33229338.90325761,gaz
2022,35280171.32898899,gaz
2023,37556755.43549329,gaz
2024,34990565.87682341,gaz
2025,36813721.11866521,gaz
2026,38864553.54440066,gaz
2027,41141137.65091274,gaz
2028,38574948.09223919,gaz
2029,40398103.33408973,gaz
2030,42448935.75981952,gaz
2008,68000000.0,hydraulique
2009,61900000.0,hydraulique
2010,67600000.0,hydraulique
2011,50300000.0,hydraulique
2012,63800000.0,hydraulique
2013,75500000.0,hydraulique
2014,68000000.0,hydraulique
2015,59100000.0,hydraulique
2016,64000000.0,hydraulique
2017,53500000.0,hydraulique
2018,68200000.0,hydraulique
2019,60100000.0,hydraulique
2020,65099999.99999999,hydraulique
2021,62552935.36261219,hydraulique
2022,63186487.31649921,hydraulique
2023,64111017.7243759,hydraulique
2024,61612569.31126759,hydraulique
2025,61953626.43762104,hydraulique
2026,62587178.391510114,hydraulique
2027,63511708.79939444,hydraulique
2028,61013260.386283375,hydraulique
2029,61354317.51264165,hydraulique
2030,61987869.46652835,hydraulique
1990,297900000.0,nucléaire
1991,315000000.0,nucléaire
1992,321800000.0,nucléaire
1993,350000000.0,nucléaire
1994,341600000.0,nucléaire
1995,358800000.0,nucléaire
1996,378200000.0,nucléaire
1997,375900000.0,nucléaire
1998,368500000.0,nucléaire
1999,374900000.0,nucléaire
2000,395200000.0,nucléaire
2001,399600000.0,nucléaire
2002,415500000.0,nucléaire
2003,419800000.0,nucléaire
2004,426900000.0,nucléaire
2005,430000000.0,nucléaire
2006,428700000.0,nucléaire
2007,418600000.0,nucléaire
2008,418300000.0,nucléaire
2009,390000000.0,nucléaire
2010,407900000.0,nucléaire
2011,421100000.0,nucléaire
2012,404900000.0,nucléaire
2013,403800000.0,nucléaire
2014,415900000.0,nucléaire
2015,416800000.0,nucléaire
2016,384000000.0,nucléaire
2017,379100000.0,nucléaire
2018,393200000.0,nucléaire
2019,379500000.0,nucléaire
2020,335400000.0,nucléaire
2021,344427227.64425,nucléaire
2022,324917013.5774616,nucléaire
2023,301685665.66556394,nucléaire
2024,344984824.7902892,nucléaire
2025,329221431.2901728,nucléaire
2026,309711217.22333163,nucléaire
2027,286479869.31132746,nucléaire
2028,329779028.43611044,nucléaire
2029,314015634.9358735,nucléaire
2030,294505420.8691064,nucléaire
2006,0.0,solaire
2007,0.0,solaire
2008,0.0,solaire
2009,200000.0,solaire
2010,500000.0,solaire
2011,2100000.0,solaire
2012,4099999.9999999995,solaire
2013,4700000.0,solaire
2014,5900000.0,solaire
2015,7400000.0,solaire
2016,8400000.0,solaire
2017,9200000.0,solaire
2018,10800000.0,solaire
2019,12300000.0,solaire
2020,12600000.0,solaire
2021,14452450.773703083,solaire
2022,15245638.97846494,solaire
2023,15940878.554658668,solaire
2024,17665488.975761477,solaire
2025,18557121.356106576,solaire
2026,19350309.56086784,solaire
2027,20045549.13705893,solaire
2028,21770159.55816234,solaire
2029,22661791.93850633,solaire
2030,23454980.143268146,solaire
