annee,categorie,sous_categorie,valeur,unite
2021,Source d énergie d électricité fournie,Nucléaire,76.88,%
2021,Source d énergie d électricité fournie,Fioul,0.8,%
2021,Source d énergie d électricité fournie,Hydraulique,8.56,%
2021,Source d énergie d électricité fournie,Charbon,0.81,%
2021,Source d énergie d électricité fournie,Gaz,7.0,%
2021,Source d énergie d électricité fournie,Autres Renouvelables,5.95,%
2021,Emission de CO2,CO2,45.15,g/kWh fourni
2021,Déchets radioactifs,Déchets radioactifs,2.07,mg/kWh fourni
2020,Source d énergie d électricité fournie,Nucléaire,74.5,%
2020,Source d énergie d électricité fournie,Fioul,0.4,%
2020,Source d énergie d électricité fournie,Hydraulique,7.2,%
2020,Source d énergie d électricité fournie,Charbon,0.3,%
2020,Source d énergie d électricité fournie,Gaz,7.7,%
2020,Source d énergie d électricité fournie,Autres Renouvelables,9.9,%
2020,Emission de CO2,CO2,40.54,g/kWh fourni
2020,Déchets radioactifs,Déchets radioactifs,2.01,mg/kWh fourni
2019,Source d énergie d électricité fournie,Nucléaire,87.7,%
2019,Source d énergie d électricité fournie,Fioul,1.1,%
2019,Source d énergie d électricité fournie,Hydraulique,5.6,%
2019,Source d énergie d électricité fournie,Charbon,0.6,%
2019,Source d énergie d électricité fournie,Gaz,3.5,%
2019,Source d énergie d électricité fournie,Autres Renouvelables,1.5,%
2019,Emission de CO2,CO2,26.78,g/kWh fourni
2019,Déchets radioactifs,Déchets radioactifs vie courte,12.32,mg/kWh fourni
2019,Déchets radioactifs,Déchets radioactifs vie longue,1.0,mg/kWh fourni
2018,Source d énergie d électricité fournie,Nucléaire,86.3,%
2018,Source d énergie d électricité fournie,Fioul,1.0,%
2018,Source d énergie d électricité fournie,Hydraulique,6.6,%
2018,Source d énergie d électricité fournie,Charbon,1.5,%
2018,Source d énergie d électricité fournie,Gaz,2.7,%
2018,Source d énergie d électricité fournie,Autres Renouvelables,1.9,%
2018,Emission de CO2,CO2,31.91,g/kWh fourni
2018,Déchets radioactifs,Déchets radioactifs vie courte,11.7,mg/kWh fourni
2018,Déchets radioactifs,Déchets radioactifs vie longue,0.99,mg/kWh fourni
2017,Source d énergie d électricité fournie,Nucléaire,85.9,%
2017,Source d énergie d électricité fournie,Fioul,1.3,%
2017,Source d énergie d électricité fournie,Hydraulique,5.3,%
2017,Source d énergie d électricité fournie,Charbon,1.9,%
2017,Source d énergie d électricité fournie,Gaz,3.7,%
2017,Source d énergie d électricité fournie,Autres Renouvelables,1.9,%
2017,Emission de CO2,CO2,40.66,g/kWh fourni
2017,Déchets radioactifs,Déchets radioactifs vie courte,12.24,mg/kWh fourni
2017,Déchets radioactifs,Déchets radioactifs vie longue,0.97,mg/kWh fourni
2016,Source d énergie d électricité fournie,Nucléaire,89.13,%
2016,Source d énergie d électricité fournie,Fioul,1.32,%
2016,Source d énergie d électricité fournie,Hydraulique,4.51,%
2016,Source d énergie d électricité fournie,Charbon,1.44,%
2016,Source d énergie d électricité fournie,Gaz,2.58,%
2016,Source d énergie d électricité fournie,Autres Renouvelables,1.02,%
2016,Emission de CO2,CO2,32.18,g/kWh fourni
2016,Déchets radioactifs,Déchets radioactifs vie courte,12.96,mg/kWh fourni
2016,Déchets radioactifs,Déchets radioactifs vie longue,1.0,mg/kWh fourni
2015,Source d énergie d électricité fournie,Nucléaire,89.7,%
2015,Source d énergie d électricité fournie,Fioul,1.1,%
2015,Source d énergie d électricité fournie,Hydraulique,6.3,%
2015,Source d énergie d électricité fournie,Charbon,1.5,%
2015,Source d énergie d électricité fournie,Gaz,0.8,%
2015,Source d énergie d électricité fournie,Autres Renouvelables,0.6,%
2015,Emission de CO2,CO2,25.02,g/kWh fourni
2015,Déchets radioactifs,Déchets radioactifs vie courte,11.1,mg/kWh fourni
2015,Déchets radioactifs,Déchets radioactifs vie longue,1.0,mg/kWh fourni
