annee,production électricité TWh
1950,13.7
1951,13.6
1952,14.3
1953,16.1
1954,16.8
1955,18.6
1956,21.2
1957,25.6
1958,22.5
1959,23.4
1960,21.0
1961,25.1
1962,31.9
1963,29.5
1964,38.1
1965,36.2
1966,36.6
1967,43.5
1968,43.3
1969,46.5
1970,37.9
1971,39.3
1972,31.4
1973,28.2
1974,27.9
1975,30.5
1976,47.7
1977,47.9
1978,54.9
1979,60.6
1980,60.2
1981,50.0
1982,57.1
1983,52.4
1984,45.3
1985,38.2
1986,28.4
1987,24.9
1988,22.9
1989,30.0
1990,29.4
1991,37.3
1992,32.7
1993,17.5
1994,20.5
1995,23.1
1996,26.2
1997,21.2
1998,32.6
1999,26.9
2000,25.8
2001,19.7
2002,22.2
2003,24.8
2004,23.0
2005,25.9
2006,21.6
2007,23.2
2008,21.4
2009,20.7
2010,19.1
2011,13.0
2012,17.4
2013,19.9
2014,8.4
2015,8.6
2016,7.3
2017,9.8
2018,5.8
2019,1.6
2020,1.4
