annee,scenario_orange,scenario_rouge,scenario_bleu,scenario_violet
2025,33.62,11.06,12.97,11.53
2014,160.93,160.93,160.93,160.93
2030,163.05,159.24,147.89,131.85
2021,167.71,166.27,163.96,157.52
2033,82.72,39.3,54.6,32.05
2032,122.28,103.52,114.4,95.0
2020,73.0,73.0,69.53,69.53
2026,39.66,13.9,16.64,14.18
2021,11.95,3.26,3.4,3.2
2014,1.07,1.07,1.07,1.07
2019,4.72,2.01,2.01,1.94
2032,77.87,35.71,48.36,29.72
2031,78.89,69.33,73.21,60.18
2016,89.14,89.14,89.14,89.14
2032,78.28,67.6,72.05,58.51
2020,7.88,2.38,2.38,2.28
2013,176.85,176.85,176.85,176.85
2031,162.74,158.7,146.5,129.62
2018,153.1,151.98,152.74,151.62
2019,73.0,73.0,70.69,70.69
2019,170.35,169.64,168.48,165.26
2026,73.0,70.76,61.2,61.2
2018,89.56,89.15,89.19,88.28
2035,73.0,58.34,44.02,44.02
2026,82.45,77.89,79.19,70.48
2022,16.92,4.61,5.02,4.64
2015,87.73,87.73,87.73,87.73
2028,52.4,20.46,25.55,19.46
2017,155.41,155.41,155.41,155.41
2028,73.0,69.83,57.38,57.38
2020,169.03,167.95,166.22,161.39
2032,162.42,158.16,145.09,127.39
2033,73.0,62.57,47.83,47.83
2023,165.06,162.91,159.45,149.77
2024,164.79,162.4,157.93,147.26
2016,73.53,73.53,73.53,73.53
2024,139.32,131.48,136.78,128.83
2028,80.98,74.48,76.78,66.16
2015,47.91,47.91,47.91,47.91
2035,76.43,62.41,68.57,53.51
2033,120.22,100.28,111.59,91.07
2029,80.24,72.77,75.57,64.01
2018,171.68,171.32,170.74,169.13
2015,1.12,1.12,1.12,1.12
2034,161.77,157.05,142.24,122.98
2013,44.36,44.36,44.36,44.36
2030,73.0,68.91,53.55,53.55
2034,77.05,64.14,69.73,55.18
2016,156.22,156.22,156.22,156.22
2021,86.56,84.92,85.11,81.45
2027,45.97,17.04,20.85,16.82
2025,137.14,128.14,134.2,125.0
2024,73.0,73.0,64.9,64.9
2023,141.51,134.83,139.37,132.67
2027,132.84,120.88,128.53,116.14
2027,163.95,160.84,153.03,139.54
2013,1.0,1.0,1.0,1.0
2020,87.56,86.33,86.47,83.73
2014,85.76,85.76,85.76,85.76
2019,88.56,87.74,87.83,86.0
2023,22.19,6.38,7.18,6.54
2028,130.69,117.26,125.7,111.72
2022,85.56,83.51,83.74,79.17
2015,157.48,157.48,157.48,157.48
2022,143.83,138.26,142.04,136.46
2025,73.0,73.0,63.11,63.11
2034,86.73,42.82,61.04,34.31
2012,175.29,175.29,175.29,175.29
2031,72.17,32.0,42.31,27.3
2033,77.66,65.87,70.89,56.85
2023,73.0,73.0,66.06,66.06
2027,73.0,70.29,59.29,59.29
2035,116.1,93.81,105.96,83.21
2028,163.65,160.31,151.33,136.96
2029,163.36,159.78,149.61,134.4
2030,126.4,110.0,120.04,102.86
2031,124.34,106.76,117.22,98.93
2013,84.8,84.8,84.8,84.8
2027,81.71,76.19,77.98,68.32
2033,162.1,157.61,143.67,125.18
2016,166.7,166.7,166.7,166.7
2022,73.0,73.0,67.21,67.21
2024,27.76,8.54,9.84,8.85
2023,84.56,82.1,82.38,76.9
2018,73.0,73.0,71.84,71.84
2031,73.0,66.8,51.65,51.65
2030,79.51,71.06,74.36,61.85
2030,65.62,28.17,36.44,24.77
2017,90.56,90.56,90.56,90.56
2022,166.38,164.59,161.7,153.64
2032,73.0,64.69,49.74,49.74
2016,1.2,1.2,1.2,1.2
2029,128.54,113.63,122.87,107.29
2017,1.33,1.41,1.41,1.38
2012,53.04,53.04,53.04,53.04
2014,33.56,33.56,33.56,33.56
2026,164.23,161.36,154.72,142.14
2013,166.77,166.77,166.77,166.77
2035,89.89,46.29,67.67,36.51
2020,148.46,145.12,147.39,144.04
2024,83.87,80.85,81.39,74.77
2025,83.18,79.6,80.39,72.64
2034,73.0,60.46,45.93,45.93
2012,0.93,0.93,0.93,0.93
2014,168.39,168.39,168.39,168.39
2012,171.13,171.13,171.13,171.13
2029,58.95,24.17,30.75,22.1
2019,150.78,148.55,150.06,147.83
2026,134.99,124.51,131.37,120.57
2017,73.0,73.0,73.0,73.0
2021,73.0,73.0,68.37,68.37
2025,164.51,161.88,156.4,144.76
2035,161.44,156.5,140.8,120.78
2021,146.14,141.69,144.72,140.25
2017,173.0,173.0,173.0,173.0
2018,2.54,1.68,1.68,1.64
2015,167.46,167.46,167.46,167.46
2034,118.16,97.04,108.77,87.14
2012,82.97,82.97,82.97,82.97
2029,73.0,69.37,55.47,55.47
