ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-01-01,-161.3389505,617.1970297554933,766.5091973900692,-161.3389505,-161.3389505,850.65362681241,850.65362681241,850.65362681241,850.65362681241,850.65362681241,850.65362681241,0.0,0.0,0.0,689.31467631241
2004-01-01,-88.4389401013851,669.7329303002648,821.2144258213677,-88.4389401013851,-88.4389401013851,834.6202947884977,834.6202947884977,834.6202947884977,834.6202947884977,834.6202947884977,834.6202947884977,0.0,0.0,0.0,746.1813546871126
2005-01-01,-15.33920310126442,778.7182536022743,927.7754245689554,-15.33920310126442,-15.33920310126442,869.8349248264207,869.8349248264207,869.8349248264207,869.8349248264207,869.8349248264207,869.8349248264207,0.0,0.0,0.0,854.4957217251563
2006-01-01,57.560807867325785,839.1237292369835,993.0280433004497,57.560807867325785,57.560807867325785,862.400224400008,862.400224400008,862.400224400008,862.400224400008,862.400224400008,862.400224400008,0.0,0.0,0.0,919.9610322673338
2007-01-01,130.46081937720362,908.992962484389,1052.4691805129253,130.46081937720362,130.46081937720362,850.6536268124144,850.6536268124144,850.6536268124144,850.6536268124144,850.6536268124144,850.6536268124144,0.0,0.0,0.0,981.114446189618
2008-01-01,203.36083197547455,965.6739858745693,1118.1227391401956,203.36083197547455,203.36083197547455,834.6202947884835,834.6202947884835,834.6202947884835,834.6202947884835,834.6202947884835,834.6202947884835,0.0,0.0,0.0,1037.9811267639582
2009-01-01,276.4947647080443,1075.7638846582713,1222.8654963890804,276.4947647080443,276.4947647080443,869.8349248264846,869.8349248264846,869.8349248264846,869.8349248264846,869.8349248264846,869.8349248264846,0.0,0.0,0.0,1146.3296895345288
2010-01-01,363.04912495340096,1150.6378746264998,1291.4940735722892,363.04912495340096,363.04912495340096,862.400224399997,862.400224399997,862.400224399997,862.400224399997,862.400224399997,862.400224399997,0.0,0.0,0.0,1225.449349353398
2011-01-01,449.6497158308128,1223.3540066398004,1379.031378078874,449.6497158308128,449.6497158308128,850.6536268124612,850.6536268124612,850.6536268124612,850.6536268124612,850.6536268124612,850.6536268124612,0.0,0.0,0.0,1300.303342643274
2012-01-01,550.804630917437,1305.1000680977845,1457.951844074118,550.804630917437,550.804630917437,834.6202947885222,834.6202947885222,834.6202947885222,834.6202947885222,834.6202947885222,834.6202947885222,0.0,0.0,0.0,1385.4249257059591
2013-01-01,652.316988540735,1446.851951201326,1591.2666318404947,652.316988540735,652.316988540735,869.8349248265048,869.8349248265048,869.8349248265048,869.8349248265048,869.8349248265048,869.8349248265048,0.0,0.0,0.0,1522.1519133672398
2014-01-01,753.5528103946924,1547.6330202704944,1686.0541283379027,753.5528103946924,753.5528103946924,862.4002243999456,862.4002243999456,862.4002243999456,862.4002243999456,862.4002243999456,862.4002243999456,0.0,0.0,0.0,1615.953034794638
2015-01-01,854.7977012717761,1628.7903646171792,1779.0297405207184,854.7977012717761,854.7977012717761,850.6536268124337,850.6536268124337,850.6536268124337,850.6536268124337,850.6536268124337,850.6536268124337,0.0,0.0,0.0,1705.4513280842098
2016-01-01,956.0425930064214,1710.0644672901167,1867.0937373286374,956.0425930064214,956.0425930064214,834.6202947885561,834.6202947885561,834.6202947885561,834.6202947885561,834.6202947885561,834.6202947885561,0.0,0.0,0.0,1790.6628877949775
2017-01-01,1057.5648681138382,1852.9156004453466,1999.546099546948,1057.5648681138382,1057.5648681138382,869.8349248264867,869.8349248264867,869.8349248264867,869.8349248264867,869.8349248264867,869.8349248264867,0.0,0.0,0.0,1927.399792940325
2018-01-01,1158.8097599559346,1940.2611331304731,2098.806712927445,1158.8097599559346,1158.8097599559346,862.4002243999994,862.4002243999994,862.4002243999994,862.4002243999994,862.4002243999994,862.4002243999994,0.0,0.0,0.0,2021.209984355934
2019-01-01,1260.0546517980306,2032.8990617279576,2192.241188769581,1260.0546517980306,1260.0546517980306,850.6536268123351,850.6536268123351,850.6536268123351,850.6536268123351,850.6536268123351,850.6536268123351,0.0,0.0,0.0,2110.7082786103656
2020-01-01,1361.299543640127,2120.7503264217535,2268.9515301076653,1361.299543640127,1361.299543640127,834.6202947886014,834.6202947886014,834.6202947886014,834.6202947886014,834.6202947886014,834.6202947886014,0.0,0.0,0.0,2195.9198384287283
2020-12-31,1462.544435482223,2208.5153350106325,2349.8730056261047,1461.1173782066721,1464.0428732010823,814.33262184631,814.33262184631,814.33262184631,814.33262184631,814.33262184631,814.33262184631,0.0,0.0,0.0,2276.877057328533
2021-12-31,1563.789327324319,2281.2430985832425,2430.7338339999073,1559.2482085025943,1568.719853789835,789.8301754003548,789.8301754003548,789.8301754003548,789.8301754003548,789.8301754003548,789.8301754003548,0.0,0.0,0.0,2353.619502724674
2022-12-31,1665.0342191664154,2350.1109883950926,2498.8179611490655,1656.152737084305,1674.7946901031094,761.1596279413855,761.1596279413855,761.1596279413855,761.1596279413855,761.1596279413855,761.1596279413855,0.0,0.0,0.0,2426.193847107801
2023-12-31,1766.2791110085118,2418.580142514794,2571.99303397781,1752.2564103474633,1781.3050813474285,728.3746764086449,728.3746764086449,728.3746764086449,728.3746764086449,728.3746764086449,728.3746764086449,0.0,0.0,0.0,2494.6537874171568
2024-12-31,1867.8013861159288,2603.4794175025436,2761.964736730656,1847.3940396719463,1888.4312302934068,814.3326218464841,814.3326218464841,814.3326218464841,814.3326218464841,814.3326218464841,814.3326218464841,0.0,0.0,0.0,2682.134007962413
2025-12-31,1969.0462779580248,2679.060844168447,2839.417374813805,1942.208694580719,1996.4853249080986,789.8301754005727,789.8301754005727,789.8301754005727,789.8301754005727,789.8301754005727,789.8301754005727,0.0,0.0,0.0,2758.8764533585972
2026-12-31,2070.2911698001208,2746.0731518699545,2913.846184454473,2035.4646143917955,2105.7566193012,761.15962794149,761.15962794149,761.15962794149,761.15962794149,761.15962794149,761.15962794149,0.0,0.0,0.0,2831.4507977416106
2027-12-31,2171.536061642217,2816.3957226243365,2991.1873284561384,2128.9659357543806,2215.0480233398707,728.3746764085272,728.3746764085272,728.3746764085272,728.3746764085272,728.3746764085272,728.3746764085272,0.0,0.0,0.0,2899.9107380507444
2028-12-31,2273.0583367496342,2992.9625943422193,3178.2897492585057,2222.693718394805,2324.6483821577435,814.3326218464124,814.3326218464124,814.3326218464124,814.3326218464124,814.3326218464124,814.3326218464124,0.0,0.0,0.0,3087.3909585960464
