ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1950-01-01,8197665.0,12553235.96782285,32037120.74578528,8197665.0,8197665.0,14432889.899999956,14432889.899999956,14432889.899999956,14432889.899999956,14432889.899999956,14432889.899999956,0.0,0.0,0.0,22630554.899999954
1951-01-01,8800392.393788869,13233116.539544774,32352617.64330665,8800392.393788869,8800392.393788869,14641723.097386878,14641723.097386878,14641723.097386878,14641723.097386878,14641723.097386878,14641723.097386878,0.0,0.0,0.0,23442115.49117575
1952-01-01,9403119.787577739,14592702.783081425,34210179.32789861,9403119.787577739,9403119.787577739,14998502.299268624,14998502.299268624,14998502.299268624,14998502.299268624,14998502.299268624,14998502.299268624,0.0,0.0,0.0,24401622.086846363
1953-01-01,10007498.488031086,14645229.500439718,34489424.97765049,10007498.488031086,10007498.488031086,14372268.99825668,14372268.99825668,14372268.99825668,14372268.99825668,14372268.99825668,14372268.99825668,0.0,0.0,0.0,24379767.486287765
1954-01-01,10610225.880559698,14365779.333151467,34897496.437645696,10610225.880559698,10610225.880559698,14432889.899999889,14432889.899999889,14432889.899999889,14432889.899999889,14432889.899999889,14432889.899999889,0.0,0.0,0.0,25043115.780559584
1955-01-01,11212953.273276063,16753532.75363615,35618026.00876353,11212953.273276063,11212953.273276063,14641723.09738642,14641723.09738642,14641723.09738642,14641723.09738642,14641723.09738642,14641723.09738642,0.0,0.0,0.0,25854676.37066248
1956-01-01,11815680.66599243,16994256.44995353,36778102.88329181,11815680.66599243,11815680.66599243,14998502.299268678,14998502.299268678,14998502.299268678,14998502.299268678,14998502.299268678,14998502.299268678,0.0,0.0,0.0,26814182.96526111
1957-01-01,12420059.366634043,16968097.57784,37248848.73419177,12420059.366634043,12420059.366634043,14372268.99825684,14372268.99825684,14372268.99825684,14372268.99825684,14372268.99825684,14372268.99825684,0.0,0.0,0.0,26792328.36489088
1958-01-01,13022786.757806119,17223213.055006545,37693572.30203916,13022786.757806119,13022786.757806119,14432889.89999997,14432889.89999997,14432889.89999997,14432889.89999997,14432889.89999997,14432889.89999997,0.0,0.0,0.0,27455676.65780609
1959-01-01,13625514.148978192,18124550.294605967,38376026.877684444,13625514.148978192,13625514.148978192,14641723.097386433,14641723.097386433,14641723.097386433,14641723.097386433,14641723.097386433,14641723.097386433,0.0,0.0,0.0,28267237.246364623
1960-01-01,14228241.539483136,19340589.36143251,39234362.397336446,14228241.539483136,14228241.539483136,14998502.29926876,14998502.29926876,14998502.29926876,14998502.29926876,14998502.29926876,14998502.29926876,0.0,0.0,0.0,29226743.838751897
1961-01-01,14832620.237907274,19398503.77412376,38697699.44033032,14832620.237907274,14832620.237907274,14372268.998256598,14372268.998256598,14372268.998256598,14372268.998256598,14372268.998256598,14372268.998256598,0.0,0.0,0.0,29204889.23616387
1962-01-01,15435347.628326531,18893607.41164063,39106944.8389516,15435347.628326531,15435347.628326531,14432889.89999997,14432889.89999997,14432889.89999997,14432889.89999997,14432889.89999997,14432889.89999997,0.0,0.0,0.0,29868237.528326504
1963-01-01,16038075.01874579,20831073.30344532,40551422.53694181,16038075.01874579,16038075.01874579,14641723.097386502,14641723.097386502,14641723.097386502,14641723.097386502,14641723.097386502,14641723.097386502,0.0,0.0,0.0,30679798.11613229
1964-01-01,16640802.409375329,21307756.809118964,41385477.625891335,16640802.409375329,16640802.409375329,14998502.299268814,14998502.299268814,14998502.299268814,14998502.299268814,14998502.299268814,14998502.299268814,0.0,0.0,0.0,31639304.708644144
1965-01-01,17245181.107924405,21928340.81476845,41502960.32719682,17245181.107924405,17245181.107924405,14372268.998256626,14372268.998256626,14372268.998256626,14372268.998256626,14372268.998256626,14372268.998256626,0.0,0.0,0.0,31617450.106181033
1966-01-01,17847604.773461092,21703416.60404885,42554292.24801628,17847604.773461092,17847604.773461092,14432889.899999984,14432889.899999984,14432889.899999984,14432889.899999984,14432889.899999984,14432889.899999984,0.0,0.0,0.0,32280494.673461076
1967-01-01,18450028.43899778,22944001.549413387,43615207.354845315,18450028.43899778,18450028.43899778,14641723.097386554,14641723.097386554,14641723.097386554,14641723.097386554,14641723.097386554,14641723.097386554,0.0,0.0,0.0,33091751.536384333
1968-01-01,19052452.10453447,24632337.638150364,45100358.7731162,19052452.10453447,19052452.10453447,14998502.299269162,14998502.299269162,14998502.299269162,14998502.299269162,14998502.299269162,14998502.299269162,0.0,0.0,0.0,34050954.40380363
1969-01-01,19656252.4427087,24489165.944242228,44171514.37893274,19656252.4427087,19656252.4427087,14372268.998256639,14372268.998256639,14372268.998256639,14372268.998256639,14372268.998256639,14372268.998256639,0.0,0.0,0.0,34028521.44096534
1970-01-01,20258403.053183004,24662163.54949904,44966062.96251224,20258403.053183004,20258403.053183004,14432889.899999997,14432889.899999997,14432889.899999997,14432889.899999997,14432889.899999997,14432889.899999997,0.0,0.0,0.0,34691292.953183
1971-01-01,20860100.413190104,25793378.294154562,46225658.994251095,20860100.413190104,20860100.413190104,14641723.097386675,14641723.097386675,14641723.097386675,14641723.097386675,14641723.097386675,14641723.097386675,0.0,0.0,0.0,35501823.51057678
1972-01-01,21461797.7731972,26656508.954415344,47235949.74958156,21461797.7731972,21461797.7731972,14998502.299269311,14998502.299269311,14998502.299269311,14998502.299269311,14998502.299269311,14998502.299269311,0.0,0.0,0.0,36460300.07246651
