ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2001-01-01,2084619.21,-9884279.369893484,-2080116.7862509638,2084619.21,2084619.21,-8046900.954574067,-8046900.954574067,-8046900.954574067,-8046900.954574067,-8046900.954574067,-8046900.954574067,0.0,0.0,0.0,-5962281.744574067
2002-01-01,4029000.4001570838,-7528793.5634969575,33986.003088818274,4029000.4001570838,4029000.4001570838,-7791529.939999488,-7791529.939999488,-7791529.939999488,-7791529.939999488,-7791529.939999488,-7791529.939999488,0.0,0.0,0.0,-3762529.5398424044
2003-01-01,5973381.677739557,-5513154.538664771,2250752.371163172,5973381.677739557,5973381.677739557,-7484580.986452014,-7484580.986452014,-7484580.986452014,-7484580.986452014,-7484580.986452014,-7484580.986452014,0.0,0.0,0.0,-1511199.3087124573
2004-01-01,7917762.891794166,-2907836.661925864,4889165.822992613,7917762.891794166,7917762.891794166,-7126444.192510947,-7126444.192510947,-7126444.192510947,-7126444.192510947,-7126444.192510947,-7126444.192510947,0.0,0.0,0.0,791318.699283219
2005-01-01,9867471.17142732,-2039997.062150723,5718021.380851827,9867471.17142732,9867471.17142732,-8046900.954573591,-8046900.954573591,-8046900.954573591,-8046900.954573591,-8046900.954573591,-8046900.954573591,0.0,0.0,0.0,1820570.2168537294
2006-01-01,11811852.358306594,202313.54597909484,7908595.125624902,11811852.358306594,11811852.358306594,-7791529.939999799,-7791529.939999799,-7791529.939999799,-7791529.939999799,-7791529.939999799,-7791529.939999799,0.0,0.0,0.0,4020322.418306795
2007-01-01,13756305.781341176,2478232.162019891,10170464.68815439,13756305.781341176,13756305.781341176,-7484580.986452419,-7484580.986452419,-7484580.986452419,-7484580.986452419,-7484580.986452419,-7484580.986452419,0.0,0.0,0.0,6271724.794888757
2008-01-01,15700759.189233555,4503467.715262299,12466735.404723147,15700759.189233555,15700759.189233555,-7126444.192511163,-7126444.192511163,-7126444.192511163,-7126444.192511163,-7126444.192511163,-7126444.192511163,0.0,0.0,0.0,8574314.996722393
2009-01-01,17650547.179139838,5402131.321117922,13500588.390293527,17650547.179139838,17650547.179139838,-8046900.954574298,-8046900.954574298,-8046900.954574298,-8046900.954574298,-8046900.954574298,-8046900.954574298,0.0,0.0,0.0,9603646.22456554
2010-01-01,19595297.963019483,7916687.512355915,15711085.302457841,19595297.963019483,19595297.963019483,-7791529.939999764,-7791529.939999764,-7791529.939999764,-7791529.939999764,-7791529.939999764,-7791529.939999764,0.0,0.0,0.0,11803768.02301972
2011-01-01,21540495.394269355,10209514.645129586,17824742.33392252,21540495.394269355,21540495.394269355,-7484580.986451974,-7484580.986451974,-7484580.986451974,-7484580.986451974,-7484580.986451974,-7484580.986451974,0.0,0.0,0.0,14055914.40781738
2012-01-01,23486134.953874893,12532914.046215689,20423488.07910202,23486134.953874893,23486134.953874893,-7126444.192511342,-7126444.192511342,-7126444.192511342,-7126444.192511342,-7126444.192511342,-7126444.192511342,0.0,0.0,0.0,16359690.761363551
2013-01-01,25437389.723392677,13812661.52798038,20995079.76583605,25437389.723392677,25437389.723392677,-8046900.954574146,-8046900.954574146,-8046900.954574146,-8046900.954574146,-8046900.954574146,-8046900.954574146,0.0,0.0,0.0,17390488.76881853
2014-01-01,27383319.37886139,15967979.786601318,23435736.17137618,27383319.37886139,27383319.37886139,-7791529.939998691,-7791529.939998691,-7791529.939998691,-7791529.939998691,-7791529.939998691,-7791529.939998691,0.0,0.0,0.0,19591789.4388627
2015-01-01,29329723.044291694,18043594.36037582,25713097.922199737,29329723.044291694,29329723.044291694,-7484580.986451919,-7484580.986451919,-7484580.986451919,-7484580.986451919,-7484580.986451919,-7484580.986451919,0.0,0.0,0.0,21845142.057839774
2016-01-01,31276127.398871724,20253795.317858905,28502550.831688017,31276127.398871724,31276127.398871724,-7126444.192511359,-7126444.192511359,-7126444.192511359,-7126444.192511359,-7126444.192511359,-7126444.192511359,0.0,0.0,0.0,24149683.206360362
2017-01-01,33227864.372881703,21496317.41008883,29349564.21304236,33227864.372881703,33227864.372881703,-8046900.954574217,-8046900.954574217,-8046900.954574217,-8046900.954574217,-8046900.954574217,-8046900.954574217,0.0,0.0,0.0,25180963.418307487
2018-01-01,35174268.732208595,23434365.34610325,31557472.70072424,35174268.732208595,35174268.732208595,-7791529.939999676,-7791529.939999676,-7791529.939999676,-7791529.939999676,-7791529.939999676,-7791529.939999676,0.0,0.0,0.0,27382738.792208917
2019-01-01,37120673.09153548,26179039.134883687,33380487.358022768,37120673.09153548,37120673.09153548,-7484580.986451448,-7484580.986451448,-7484580.986451448,-7484580.986451448,-7484580.986451448,-7484580.986451448,0.0,0.0,0.0,29636092.10508403
2020-01-01,39067077.45086238,27918650.531528816,35594588.84097808,39067077.45086238,39067077.45086238,-7126444.192512027,-7126444.192512027,-7126444.192512027,-7126444.192512027,-7126444.192512027,-7126444.192512027,0.0,0.0,0.0,31940633.25835035
2020-12-31,41013481.81018927,30198960.956353642,38127831.89919527,41013385.97558707,41013570.762347616,-6717597.068752298,-6717597.068752298,-6717597.068752298,-6717597.068752298,-6717597.068752298,-6717597.068752298,0.0,0.0,0.0,34295884.74143697
2021-12-31,42959886.16951616,32851064.033220313,40609629.40869775,42959580.456335545,42960166.9440923,-6258603.815380624,-6258603.815380624,-6258603.815380624,-6258603.815380624,-6258603.815380624,-6258603.815380624,0.0,0.0,0.0,36701282.354135536
2022-12-31,44906290.52884305,35361759.838762105,43122321.0476746,44905696.839086846,44906870.95547312,-5750114.455063381,-5750114.455063381,-5750114.455063381,-5750114.455063381,-5750114.455063381,-5750114.455063381,0.0,0.0,0.0,39156176.07377967
2023-12-31,46852694.88816994,37919609.74830782,45427103.2248682,46851783.814228214,46853585.78084345,-5192863.822351177,-5192863.822351177,-5192863.822351177,-5192863.822351177,-5192863.822351177,-5192863.822351177,0.0,0.0,0.0,41659831.06581876
2024-12-31,48804431.86217991,38277717.53832117,45874256.100407615,48803198.315087356,48805689.09176756,-6717597.068754764,-6717597.068754764,-6717597.068754764,-6717597.068754764,-6717597.068754764,-6717597.068754764,0.0,0.0,0.0,42086834.79342515
2025-12-31,50750836.221506804,40675385.626567364,48039874.760070756,50749195.03401804,50752482.23507189,-6258603.815383215,-6258603.815383215,-6258603.815383215,-6258603.815383215,-6258603.815383215,-6258603.815383215,0.0,0.0,0.0,44492232.406123586
2026-12-31,52697240.580833696,43124312.33512506,50713046.31842725,52695180.28625253,52699402.8471547,-5750114.45506393,-5750114.45506393,-5750114.45506393,-5750114.45506393,-5750114.45506393,-5750114.45506393,0.0,0.0,0.0,46947126.125769764
2027-12-31,54643644.94016058,45436771.155445546,53290876.38151639,54640993.85571708,54646303.78311161,-5192863.8223494105,-5192863.8223494105,-5192863.8223494105,-5192863.8223494105,-5192863.8223494105,-5192863.8223494105,0.0,0.0,0.0,49450781.11781117
2028-12-31,56595381.91417056,45955143.95090452,53831776.593335725,56592195.45474,56598646.4932868,-6717597.068754781,-6717597.068754781,-6717597.068754781,-6717597.068754781,-6717597.068754781,-6717597.068754781,0.0,0.0,0.0,49877784.845415786
2029-12-31,58541786.27349746,48532156.024242096,55940157.685389936,58538052.41840148,58545675.59933659,-6258603.815378699,-6258603.815378699,-6258603.815378699,-6258603.815378699,-6258603.815378699,-6258603.815378699,0.0,0.0,0.0,52283182.45811877
2030-12-31,60488190.63282435,50984887.6624429,58770295.390712686,60483761.84744151,60492690.234464094,-5750114.45506253,-5750114.45506253,-5750114.45506253,-5750114.45506253,-5750114.45506253,-5750114.45506253,0.0,0.0,0.0,54738076.177761815
