ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1960-01-01,11020019.7,-1609661.386841543,10308418.01816543,11020019.7,11020019.7,-6617232.941526925,-6617232.941526925,-6617232.941526925,-6617232.941526925,-6617232.941526925,-6617232.941526925,0.0,0.0,0.0,4402786.758473074
1961-01-01,11082377.265897332,-1976111.0938590402,9532101.370570073,11082377.265897332,11082377.265897332,-7328202.828854533,-7328202.828854533,-7328202.828854533,-7328202.828854533,-7328202.828854533,-7328202.828854533,0.0,0.0,0.0,3754174.437042799
1962-01-01,11144564.455931554,-2060563.1838475016,10047870.102039188,11144564.455931554,11144564.455931554,-7322470.53000005,-7322470.53000005,-7322470.53000005,-7322470.53000005,-7322470.53000005,-7322470.53000005,0.0,0.0,0.0,3822093.925931504
1963-01-01,11206751.64611553,-2061236.4586637996,10184905.485032523,11206751.64611553,11206751.64611553,-7085375.484947596,-7085375.484947596,-7085375.484947596,-7085375.484947596,-7085375.484947596,-7085375.484947596,0.0,0.0,0.0,4121376.1611679345
1964-01-01,11268938.836299507,-1961882.1583754919,10789597.06021632,11268938.836299507,11268938.836299507,-6617232.941526815,-6617232.941526815,-6617232.941526815,-6617232.941526815,-6617232.941526815,-6617232.941526815,0.0,0.0,0.0,4651705.894772692
1965-01-01,11331296.402589006,-2060147.0404546147,9918127.017497603,11331296.402589006,11331296.402589006,-7328202.828854514,-7328202.828854514,-7328202.828854514,-7328202.828854514,-7328202.828854514,-7328202.828854514,0.0,0.0,0.0,4003093.573734492
1966-01-01,11393483.593014328,-2076089.2033509763,10132220.093179293,11393483.593014328,11393483.593014328,-7322470.529999996,-7322470.529999996,-7322470.529999996,-7322470.529999996,-7322470.529999996,-7322470.529999996,0.0,0.0,0.0,4071013.063014332
1967-01-01,11455670.783930369,-1960637.0037640494,10267202.236358233,11455670.783930369,11455670.783930369,-7085375.484947523,-7085375.484947523,-7085375.484947523,-7085375.484947523,-7085375.484947523,-7085375.484947523,0.0,0.0,0.0,4370295.298982846
1968-01-01,11517857.974846408,-1385839.1036884452,10793137.800803797,11517857.974846408,11517857.974846408,-6617232.941526359,-6617232.941526359,-6617232.941526359,-6617232.941526359,-6617232.941526359,-6617232.941526359,0.0,0.0,0.0,4900625.033320049
1969-01-01,11580215.541341443,-1371533.018492179,10601611.286655018,11580215.541341443,11580215.541341443,-7328202.828854514,-7328202.828854514,-7328202.828854514,-7328202.828854514,-7328202.828854514,-7328202.828854514,0.0,0.0,0.0,4252012.712486928
1970-01-01,11642402.731708707,-1746610.0111348454,10886369.433395727,11642402.731708707,11642402.731708707,-7322470.529999996,-7322470.529999996,-7322470.529999996,-7322470.529999996,-7322470.529999996,-7322470.529999996,0.0,0.0,0.0,4319932.201708712
1971-01-01,11704589.922075974,-1962142.0325425307,10654747.332148563,11704589.922075974,11704589.922075974,-7085375.484947341,-7085375.484947341,-7085375.484947341,-7085375.484947341,-7085375.484947341,-7085375.484947341,0.0,0.0,0.0,4619214.437128633
1972-01-01,11766777.11286537,-687747.0818566785,11440432.880975448,11766777.11286537,11766777.11286537,-6617232.941526176,-6617232.941526176,-6617232.941526176,-6617232.941526176,-6617232.941526176,-6617232.941526176,0.0,0.0,0.0,5149544.171339193
