ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-01-01,17332308.5,56295262.17182071,72642401.11367801,17332308.5,17332308.5,46629916.17273112,46629916.17273112,46629916.17273112,46629916.17273112,46629916.17273112,46629916.17273112,0.0,0.0,0.0,63962224.67273112
2009-01-01,17182173.61321013,56225997.075743645,73828674.5532117,17182173.61321013,17182173.61321013,47800635.85025754,47800635.85025754,47800635.85025754,47800635.85025754,47800635.85025754,47800635.85025754,0.0,0.0,0.0,64982809.46346767
2010-01-01,17032448.93312615,55792726.088194266,72296774.80319603,17032448.93312615,17032448.93312615,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,0.0,0.0,0.0,64149431.93312582
2011-01-01,16882724.25511022,55612333.380193315,71792214.93995649,16882724.25511022,16882724.25511022,46726533.80667926,46726533.80667926,46726533.80667926,46726533.80667926,46726533.80667926,46726533.80667926,0.0,0.0,0.0,63609258.06178948
2012-01-01,16732999.578100117,55275721.01681275,72116912.93918262,16732999.578100117,16732999.578100117,46629916.17273081,46629916.17273081,46629916.17273081,46629916.17273081,46629916.17273081,46629916.17273081,0.0,0.0,0.0,63362915.750830926
2013-01-01,16582864.696708648,55908748.71391956,72629584.93732211,16582864.696708648,16582864.696708648,47800635.85025848,47800635.85025848,47800635.85025848,47800635.85025848,47800635.85025848,47800635.85025848,0.0,0.0,0.0,64383500.54696713
2014-01-01,16433140.019134436,55392011.419233486,71187018.24284244,16433140.019134436,16433140.019134436,47116982.99999725,47116982.99999725,47116982.99999725,47116982.99999725,47116982.99999725,47116982.99999725,0.0,0.0,0.0,63550123.01913169
2015-01-01,16283415.339783726,55364779.73314453,70603884.99707912,16283415.339783726,16283415.339783726,46726533.8066792,46726533.8066792,46726533.8066792,46726533.8066792,46726533.8066792,46726533.8066792,0.0,0.0,0.0,63009949.146462925
2016-01-01,16133690.658903273,54987244.22959474,70664874.32213035,16133690.658903273,16133690.658903273,46629916.172730476,46629916.172730476,46629916.172730476,46629916.172730476,46629916.172730476,46629916.172730476,0.0,0.0,0.0,62763606.83163375
2017-01-01,15983555.77477762,55725676.65437493,71796147.16115813,15983555.77477762,15983555.77477762,47800635.8502575,47800635.8502575,47800635.8502575,47800635.8502575,47800635.8502575,47800635.8502575,0.0,0.0,0.0,63784191.62503512
2018-01-01,15833831.094681973,54596674.014273755,71033808.18814744,15833831.094681973,15833831.094681973,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,0.0,0.0,0.0,62950814.094681635
2019-01-01,15684106.414586328,54291974.400638446,70431170.6877012,15684106.414586328,15684106.414586328,46726533.8066785,46726533.8066785,46726533.8066785,46726533.8066785,46726533.8066785,46726533.8066785,0.0,0.0,0.0,62410640.221264824
2020-01-01,15534381.734490683,54223681.432553016,70913218.43423142,15534381.734490683,15534381.734490683,46629916.172730245,46629916.172730245,46629916.172730245,46629916.172730245,46629916.172730245,46629916.172730245,0.0,0.0,0.0,62164297.90722093
2020-12-31,15384657.054395037,53903705.48257476,69966916.45979293,15384657.012040686,15384657.101524403,46827221.181860946,46827221.181860946,46827221.181860946,46827221.181860946,46827221.181860946,46827221.181860946,0.0,0.0,0.0,62211878.23625598
2021-12-31,15234932.374299394,54423992.36014518,71437111.49150093,15234932.234490333,15234932.528016401,47318002.988312796,47318002.988312796,47318002.988312796,47318002.988312796,47318002.988312796,47318002.988312796,0.0,0.0,0.0,62552935.36261219
2022-12-31,15085207.694203747,55001293.66758645,70712814.0564561,15085207.42584712,15085207.987429768,48101279.62229546,48101279.62229546,48101279.62229546,48101279.62229546,48101279.62229546,48101279.62229546,0.0,0.0,0.0,63186487.31649921
2023-12-31,14935483.0141081,55368812.56317879,71874126.24782443,14935482.591218077,14935483.487494769,49175534.710267805,49175534.710267805,49175534.710267805,49175534.710267805,49175534.710267805,49175534.710267805,0.0,0.0,0.0,64111017.7243759
2024-12-31,14785348.129409455,53276316.23548921,69705434.33346546,14785347.552952401,14785348.788175251,46827221.18185813,46827221.18185813,46827221.18185813,46827221.18185813,46827221.18185813,46827221.18185813,0.0,0.0,0.0,61612569.311267585
2025-12-31,14635623.449313808,53976188.67761377,69787057.65641679,14635622.686545102,14635624.303982003,47318002.98830723,47318002.98830723,47318002.98830723,47318002.98830723,47318002.98830723,47318002.98830723,0.0,0.0,0.0,61953626.43762104
2026-12-31,14485898.769218165,54607736.179274164,70817679.1590474,14485897.778221076,14485899.827712124,48101279.622291945,48101279.622291945,48101279.622291945,48101279.622291945,48101279.622291945,48101279.622291945,0.0,0.0,0.0,62587178.391510114
2027-12-31,14336174.089122519,55231254.612748645,71229145.688762,14336172.919686118,14336175.383733252,49175534.710271925,49175534.710271925,49175534.710271925,49175534.710271925,49175534.710271925,49175534.710271925,0.0,0.0,0.0,63511708.79939444
2028-12-31,14186039.204423873,52805022.78495862,68830832.4869616,14186037.814987745,14186040.74726562,46827221.1818595,46827221.1818595,46827221.1818595,46827221.1818595,46827221.1818595,46827221.1818595,0.0,0.0,0.0,61013260.386283375
2029-12-31,14036314.524328228,52527046.91390244,69361212.1754423,14036312.85404829,14036316.387145659,47318002.98831343,47318002.98831343,47318002.98831343,47318002.98831343,47318002.98831343,47318002.98831343,0.0,0.0,0.0,61354317.51264165
2030-12-31,13886589.844232582,53585482.27639145,69789816.95548272,13886587.887133226,13886592.010885878,48101279.62229577,48101279.62229577,48101279.62229577,48101279.62229577,48101279.62229577,48101279.62229577,0.0,0.0,0.0,61987869.46652835
