ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2008-01-01,17332308.5,55530143.15626068,71534943.69688722,17332308.5,17332308.5,46629916.17273112,46629916.17273112,46629916.17273112,46629916.17273112,46629916.17273112,46629916.17273112,0.0,0.0,0.0,63962224.67273112
2009-01-01,17182173.61321013,56633715.650604025,73162362.574015,17182173.61321013,17182173.61321013,47800635.85025754,47800635.85025754,47800635.85025754,47800635.85025754,47800635.85025754,47800635.85025754,0.0,0.0,0.0,64982809.46346767
2010-01-01,17032448.93312615,56054425.175661765,72724082.2278604,17032448.93312615,17032448.93312615,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,0.0,0.0,0.0,64149431.93312582
2011-01-01,16882724.25511022,55435212.46178395,71976887.69501698,16882724.25511022,16882724.25511022,46726533.80667926,46726533.80667926,46726533.80667926,46726533.80667926,46726533.80667926,46726533.80667926,0.0,0.0,0.0,63609258.06178948
2012-01-01,16732999.578100117,55416663.875580765,71683998.3855999,16732999.578100117,16732999.578100117,46629916.17273081,46629916.17273081,46629916.17273081,46629916.17273081,46629916.17273081,46629916.17273081,0.0,0.0,0.0,63362915.750830926
2013-01-01,16582864.696708648,55791441.606104225,72220545.26374173,16582864.696708648,16582864.696708648,47800635.85025848,47800635.85025848,47800635.85025848,47800635.85025848,47800635.85025848,47800635.85025848,0.0,0.0,0.0,64383500.54696713
2014-01-01,16433140.019134436,54988271.029658236,72055668.52328248,16433140.019134436,16433140.019134436,47116982.99999725,47116982.99999725,47116982.99999725,47116982.99999725,47116982.99999725,47116982.99999725,0.0,0.0,0.0,63550123.01913169
2015-01-01,16283415.339783726,55056440.29840108,71197295.04281837,16283415.339783726,16283415.339783726,46726533.8066792,46726533.8066792,46726533.8066792,46726533.8066792,46726533.8066792,46726533.8066792,0.0,0.0,0.0,63009949.146462925
2016-01-01,16133690.658903273,54556520.20215356,70595458.34497297,16133690.658903273,16133690.658903273,46629916.172730476,46629916.172730476,46629916.172730476,46629916.172730476,46629916.172730476,46629916.172730476,0.0,0.0,0.0,62763606.83163375
2017-01-01,15983555.77477762,56009413.37756891,71683254.12975581,15983555.77477762,15983555.77477762,47800635.8502575,47800635.8502575,47800635.8502575,47800635.8502575,47800635.8502575,47800635.8502575,0.0,0.0,0.0,63784191.62503512
2018-01-01,15833831.094681973,55472096.38210306,70962305.85694312,15833831.094681973,15833831.094681973,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,47116982.999999665,0.0,0.0,0.0,62950814.094681635
