ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1990-01-01,-158853610.0,302260364.743089,331728389.7687511,-158853610.0,-158853610.0,475184051.7000002,475184051.7000002,475184051.7000002,475184051.7000002,475184051.7000002,475184051.7000002,0.0,0.0,0.0,316330441.7000002
1991-01-01,-150980011.3507347,308722279.2858038,338257007.8156393,-150980011.3507347,-150980011.3507347,474549609.54768103,474549609.54768103,474549609.54768103,474549609.54768103,474549609.54768103,474549609.54768103,0.0,0.0,0.0,323569598.1969463
1992-01-01,-143106412.71751347,312273080.57518566,342251704.2004935,-143106412.71751347,-143106412.71751347,470130000.52223635,470130000.52223635,470130000.52223635,470130000.52223635,470130000.52223635,470130000.52223635,0.0,0.0,0.0,327023587.8047229
1993-01-01,-135211242.59828773,321775299.13425785,351501665.0501919,-135211242.59828773,-135211242.59828773,472033518.3894349,472033518.3894349,472033518.3894349,472033518.3894349,472033518.3894349,472033518.3894349,0.0,0.0,0.0,336822275.7911471
1994-01-01,-127337643.99435832,332804567.2805949,363765888.3241422,-127337643.99435832,-127337643.99435832,475184051.6999997,475184051.6999997,475184051.6999997,475184051.6999997,475184051.6999997,475184051.6999997,0.0,0.0,0.0,347846407.7056414
1995-01-01,-119464045.42181201,339451871.0429314,369506329.4537159,-119464045.42181201,-119464045.42181201,474549609.54768234,474549609.54768234,474549609.54768234,474549609.54768234,474549609.54768234,474549609.54768234,0.0,0.0,0.0,355085564.12587035
1996-01-01,-111590628.6330902,343500020.616061,373558000.3572547,-111590628.6330902,-111590628.6330902,470130000.5222211,470130000.5222211,470130000.5222211,470130000.5222211,470130000.5222211,470130000.5222211,0.0,0.0,0.0,358539371.8891309
1997-01-01,-103698120.18132229,352421546.9164437,382568077.5232829,-103698120.18132229,-103698120.18132229,472033518.3894391,472033518.3894391,472033518.3894391,472033518.3894391,472033518.3894391,472033518.3894391,0.0,0.0,0.0,368335398.2081168
1998-01-01,-95830429.267224,363800014.0443232,393374681.7736495,-95830429.267224,-95830429.267224,475184051.70000255,475184051.70000255,475184051.70000255,475184051.70000255,475184051.70000255,475184051.70000255,0.0,0.0,0.0,379353622.43277854
1999-01-01,-87966407.14711127,372310800.2560495,401608183.4017661,-87966407.14711127,-87966407.14711127,474549609.5476835,474549609.5476835,474549609.5476835,474549609.5476835,474549609.5476835,474549609.5476835,0.0,0.0,0.0,386583202.4005722
2000-01-01,-80107707.389575,374626567.25456274,404665750.18368036,-80107707.389575,-80107707.389575,470130000.52221,470130000.52221,470130000.52221,470130000.52221,470130000.52221,470130000.52221,0.0,0.0,0.0,390022293.132635
2001-01-01,-72233357.61945173,383789019.0367411,414553165.0022716,-72233357.61945173,-72233357.61945173,472033518.3894406,472033518.3894406,472033518.3894406,472033518.3894406,472033518.3894406,472033518.3894406,0.0,0.0,0.0,399800160.7699889
2002-01-01,-64383249.4169305,396525517.01690346,426497870.9427573,-64383249.4169305,-64383249.4169305,475184051.70000213,475184051.70000213,475184051.70000213,475184051.70000213,475184051.70000213,475184051.70000213,0.0,0.0,0.0,410800802.28307164
2003-01-01,-56533716.3243591,402543125.3322212,433708267.100613,-56533716.3243591,-56533716.3243591,474549609.5476782,474549609.5476782,474549609.5476782,474549609.5476782,474549609.5476782,474549609.5476782,0.0,0.0,0.0,418015893.22331905
2004-01-01,-48688879.21245756,407446397.6922163,436782835.3951498,-48688879.21245756,-48688879.21245756,470130000.52222645,470130000.52222645,470130000.52222645,470130000.52222645,470130000.52222645,470130000.52222645,0.0,0.0,0.0,421441121.3097689
2005-01-01,-47517253.57794146,409463619.04308176,438680853.7672071,-47517253.57794146,-47517253.57794146,472033518.38946337,472033518.38946337,472033518.38946337,472033518.38946337,472033518.38946337,472033518.38946337,0.0,0.0,0.0,424516264.8115219
2006-01-01,-50454725.33251798,409322386.76667434,439461079.2178852,-50454725.33251798,-50454725.33251798,475184051.69999796,475184051.69999796,475184051.69999796,475184051.69999796,475184051.69999796,475184051.69999796,0.0,0.0,0.0,424729326.36748
2007-01-01,-53420529.16193252,404608119.4935528,436461402.38564014,-53420529.16193252,-53420529.16193252,474549609.54768157,474549609.54768157,474549609.54768157,474549609.54768157,474549609.54768157,474549609.54768157,0.0,0.0,0.0,421129080.38574904
2008-01-01,-56386619.65679062,398756014.7042654,430108878.11033714,-56386619.65679062,-56386619.65679062,470130000.5222274,470130000.5222274,470130000.5222274,470130000.5222274,470130000.5222274,470130000.5222274,0.0,0.0,0.0,413743380.8654368
