ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2006-01-01,-4725529.2,-3120182.0280280896,-1007979.1554392314,-4725529.2,-4725529.2,2706883.2000001166,2706883.2000001166,2706883.2000001166,2706883.2000001166,2706883.2000001166,2706883.2000001166,0.0,0.0,0.0,-2018645.9999998836
2007-01-01,-3700446.0100919222,-1973087.051511273,158753.19364767996,-3700446.0100919222,-3700446.0100919222,2869628.3919128273,2869628.3919128273,2869628.3919128273,2869628.3919128273,2869628.3919128273,2869628.3919128273,0.0,0.0,0.0,-830817.618179095
2008-01-01,-2675362.798857905,-827407.6538812544,1308815.642040801,-2675362.798857905,-2675362.798857905,2933479.8779434282,2933479.8779434282,2933479.8779434282,2933479.8779434282,2933479.8779434282,2933479.8779434282,0.0,0.0,0.0,258117.07908552326
2009-01-01,-1647471.114401249,-331312.1199698304,1753643.243450563,-1647471.114401249,-1647471.114401249,2445441.164333035,2445441.164333035,2445441.164333035,2445441.164333035,2445441.164333035,2445441.164333035,0.0,0.0,0.0,797970.0499317858
2010-01-01,-622387.8709484522,1012964.9699734967,3069280.4773878306,-622387.8709484522,-622387.8709484522,2706883.2000001725,2706883.2000001725,2706883.2000001725,2706883.2000001725,2706883.2000001725,2706883.2000001725,0.0,0.0,0.0,2084495.3290517204
2011-01-01,402695.5212680067,2152241.9680194594,4390658.492816385,402695.5212680067,402695.5212680067,2869628.3919132077,2869628.3919132077,2869628.3919132077,2869628.3919132077,2869628.3919132077,2869628.3919132077,0.0,0.0,0.0,3272323.9131812146
2012-01-01,1427879.6678331848,3304839.0963615696,5435250.3987374585,1427879.6678331848,1427879.6678331848,2933479.877943641,2933479.877943641,2933479.877943641,2933479.877943641,2933479.877943641,2933479.877943641,0.0,0.0,0.0,4361359.545776825
2013-01-01,2455872.553813564,3868469.8962764805,5956706.13238056,2455872.553813564,2455872.553813564,2445441.1643329225,2445441.1643329225,2445441.1643329225,2445441.1643329225,2445441.1643329225,2445441.1643329225,0.0,0.0,0.0,4901313.718146486
2014-01-01,3481337.8100359375,5165827.613027501,7224846.734637982,3481337.8100359375,3481337.8100359375,2706883.200001017,2706883.200001017,2706883.200001017,2706883.200001017,2706883.200001017,2706883.200001017,0.0,0.0,0.0,6188221.010036955
2015-01-01,4506803.068089719,6375636.612309274,8456899.486792361,4506803.068089719,4506803.068089719,2869628.391913152,2869628.391913152,2869628.391913152,2869628.391913152,2869628.391913152,2869628.391913152,0.0,0.0,0.0,7376431.460002871
2016-01-01,5532268.32696581,7382896.418469447,9462790.71354075,5532268.32696581,5532268.32696581,2933479.8779438874,2933479.8779438874,2933479.8779438874,2933479.8779438874,2933479.8779438874,2933479.8779438874,0.0,0.0,0.0,8465748.204909697
2017-01-01,6560543.101627003,7907804.345501729,10103776.280167468,6560543.101627003,6560543.101627003,2445441.1643330907,2445441.1643330907,2445441.1643330907,2445441.1643330907,2445441.1643330907,2445441.1643330907,0.0,0.0,0.0,9005984.265960094
2018-01-01,7586008.373753344,9272679.081000427,11367527.684772154,7586008.373753344,7586008.373753344,2706883.200000206,2706883.200000206,2706883.200000206,2706883.200000206,2706883.200000206,2706883.200000206,0.0,0.0,0.0,10292891.57375355
2019-01-01,8611473.64587968,10428815.100989962,12513798.057305362,8611473.64587968,8611473.64587968,2869628.3919130173,2869628.3919130173,2869628.3919130173,2869628.3919130173,2869628.3919130173,2869628.3919130173,0.0,0.0,0.0,11481102.037792698
2020-01-01,9636938.918006022,11478554.2484881,13631076.62170104,9636938.918006022,9636938.918006022,2933479.8779439544,2933479.8779439544,2933479.8779439544,2933479.8779439544,2933479.8779439544,2933479.8779439544,0.0,0.0,0.0,12570418.795949977
2020-12-31,10662404.190132363,12496569.335735563,14636906.874534762,10662380.613385472,10662425.503151631,2898414.203226574,2898414.203226574,2898414.203226574,2898414.203226574,2898414.203226574,2898414.203226574,0.0,0.0,0.0,13560818.393358937
2021-12-31,11687869.4622587,13405028.913014844,15500441.492690409,11687795.328854611,11687939.00315436,2764581.311444383,2764581.311444383,2764581.311444383,2764581.311444383,2764581.311444383,2764581.311444383,0.0,0.0,0.0,14452450.773703083
2022-12-31,12713334.73438504,14216584.823711162,16298925.302336702,12713185.83267017,12713467.634295905,2532304.2440799014,2532304.2440799014,2532304.2440799014,2532304.2440799014,2532304.2440799014,2532304.2440799014,0.0,0.0,0.0,15245638.97846494
2023-12-31,13738800.006511377,14828739.281961296,17034138.157262735,13738566.722871577,13739012.57044433,2202078.548147291,2202078.548147291,2202078.548147291,2202078.548147291,2202078.548147291,2202078.548147291,0.0,0.0,0.0,15940878.554658668
2024-12-31,14767074.772533953,16591349.154877322,18811400.951131396,14766751.451499375,14767370.21990369,2898414.203227525,2898414.203227525,2898414.203227525,2898414.203227525,2898414.203227525,2898414.203227525,0.0,0.0,0.0,17665488.975761477
