tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method;commentaire
1;2021;Groupe;Group;Monde;World;Nucléaire;Nuclear;Electrique;Electric;70102.5;MWe;Intégration Globale;Full integration;
2;2021;Groupe;Group;Monde;World;Charbon;Coal;Electrique;Electric;2187.0;MWe;Intégration Globale;Full integration;
3;2021;Groupe;Group;Monde;World;Fioul;Fioul;Electrique;Electric;3441.7;MWe;Intégration Globale;Full integration;
4;2021;Groupe;Group;Monde;World;Gaz;Gas;Electrique;Electric;10765.5624256529;MWe;Intégration Globale;Full integration;
5;2021;Groupe;Group;Monde;World;Hydraulique;Hydraulic;Electrique;Electric;21251.6018392868;MWe;Intégration Globale;Full integration;
6;2021;Groupe;Group;Monde;World;Géothermie;Geothermal;Electrique;Electric;1.0;MWe;Intégration Globale;Full integration;
7;2021;Groupe;Group;Monde;World;Eolien;Wind;Electrique;Electric;7522.88;MWe;Intégration Globale;Full integration;
8;2021;Groupe;Group;Monde;World;Solaire;Solar;Electrique;Electric;1617.165415;MWe;Intégration Globale;Full integration;
9;2021;Groupe;Group;Monde;World;Biomasse;Biomass;Electrique;Electric;190.805;MWe;Intégration Globale;Full integration;
10;2021;Groupe;Group;Monde;World;Energie marine;Marine energy;Electrique;Electric;240.0;MWe;Intégration Globale;Full integration;
11;2021;Groupe;Group;Monde;World;Divers;Various;Electrique;Electric;23.178;MWe;Intégration Globale;Full integration;
12;2021;Groupe;Group;Monde;World;Charbon;Coal;Chaleur;Heat;678.63;MWth;Intégration Globale;Full integration;
13;2021;Groupe;Group;Monde;World;Fioul;Fioul;Chaleur;Heat;937.441;MWth;Intégration Globale;Full integration;
14;2021;Groupe;Group;Monde;World;Gaz;Gas;Chaleur;Heat;23820.438;MWth;Intégration Globale;Full integration;
15;2021;Groupe;Group;Monde;World;Autres ENR;Other Renewable Energies;Chaleur;Heat;2320.424;MWth;Intégration Globale;Full integration;
16;2021;Groupe;Group;Monde;World;Divers;Various;Chaleur;Heat;5890.59;MWth;Intégration Globale;Full integration;
17;2021;Groupe;Group;Monde;World;Nucléaire;Nuclear;Electrique;Electric;69454.61655;MWe;Nette;Net;
18;2021;Groupe;Group;Monde;World;Charbon;Coal;Electrique;Electric;4225.0204;MWe;Nette;Net;
