tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method;commentaire
1;2021;Groupe;Group;Afrique du Sud;South Africa;Eolien;Wind;Electrique;Electric;73.143;MWe;Nette;Net;
2;2021;Groupe;Group;Allemagne;Germany;Hydraulique;Hydraulic;Electrique;Electric;75.5;MWe;Nette;Net;
3;2021;Groupe;Group;Allemagne;Germany;Eolien;Wind;Electrique;Electric;173.335383716856;MWe;Nette;Net;
4;2021;Groupe;Group;Belgique;Belgium;Nucléaire;Nuclear;Electrique;Electric;768.21655;MWe;Nette;Net;
5;2021;Groupe;Group;Belgique;Belgium;Gaz;Gas;Electrique;Electric;828.91314;MWe;Nette;Net;
6;2021;Groupe;Group;Belgique;Belgium;Hydraulique;Hydraulic;Electrique;Electric;45.851703;MWe;Nette;Net;
7;2021;Groupe;Group;Belgique;Belgium;Eolien;Wind;Electrique;Electric;432.80797;MWe;Nette;Net;
8;2021;Groupe;Group;Belgique;Belgium;Solaire;Solar;Electrique;Electric;4.261923;MWe;Nette;Net;
9;2021;Groupe;Group;Belgique;Belgium;Fioul;Fioul;Chaleur;Heat;10.01998;MWth;Nette;Net;
10;2021;Groupe;Group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;36.71705;MWth;Nette;Net;
11;2021;Groupe;Group;Brésil;Brazil;Gaz;Gas;Electrique;Electric;936.6021;MWe;Nette;Net;
12;2021;Groupe;Group;Brésil;Brazil;Hydraulique;Hydraulic;Electrique;Electric;204.96;MWe;Nette;Net;
13;2021;Groupe;Group;Brésil;Brazil;Eolien;Wind;Electrique;Electric;479.7;MWe;Nette;Net;
14;2021;Groupe;Group;Brésil;Brazil;Solaire;Solar;Electrique;Electric;199.2625;MWe;Nette;Net;
15;2021;Groupe;Group;Canada;Canada;Eolien;Wind;Electrique;Electric;618.19;MWe;Nette;Net;
16;2021;Groupe;Group;Canada;Canada;Solaire;Solar;Electrique;Electric;42.4;MWe;Nette;Net;
17;2021;Groupe;Group;Chine;China;Nucléaire;Nuclear;Electrique;Electric;1050.0;MWe;Nette;Net;
18;2021;Groupe;Group;Chine;China;Charbon;Coal;Electrique;Electric;2020.76;MWe;Nette;Net;
19;2021;Groupe;Group;Chine;China;Eolien;Wind;Electrique;Electric;442.43425;MWe;Nette;Net;
20;2021;Groupe;Group;Chine;China;Solaire;Solar;Electrique;Electric;122.81786;MWe;Nette;Net;
21;2021;Groupe;Group;Chine;China;Biomasse;Biomass;Electrique;Electric;22.8;MWe;Nette;Net;
22;2021;Groupe;Group;Espagne;Spain;Gaz;Gas;Electrique;Electric;5.046601686;MWe;Nette;Net;
23;2021;Groupe;Group;Espagne;Spain;Solaire;Solar;Electrique;Electric;2.419523283;MWe;Nette;Net;
24;2021;Groupe;Group;Espagne;Spain;Gaz;Gas;Chaleur;Heat;122.002434822;MWth;Nette;Net;
25;2021;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Nucléaire;Nuclear;Electrique;Electric;61370.0;MWe;Nette;Net;
26;2021;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Charbon;Coal;Electrique;Electric;1177.6;MWe;Nette;Net;
27;2021;Groupe;Group;France (ISO 3166:FR);France (ISO 3166:FR);Fioul;Fioul;Electrique;Electric;3482.74706;MWe;Nette;Net;
