title;link;description;pubdate;perimetre_juridique;perimetre_spatial
Registre national des installations de production et de stockage d'électricité (au 31/08/2022);http://opendata-corse-outremer.edf.fr/explore/dataset/registre-des-installations-de-production-et-de-stockage-d-electricite/;Ce registre présente les installations de production et de stockage d'électricité raccordées directement ou indirectement aux réseaux publics d’électricité en France métropolitaine et dans les zones non interconnectées (ZNI).   Il contient notamment les informations suivantes :      Nom de l’installation     Département et commune du point de livraison de l’installation     Filière de l’installation     Puissance active maximale installée     Date de mise en service  Pour les « petites » installations (< 36 kVA), une agrégation est réalisée par lot d'au moins 10 à la maille commune ou département.  Les informations relatives à ces installations de moins de 36 kW sont rendues publiques après agrégation, tel que défini dans l'arrêté du 7 juillet 2016.  Dans le respect des obligations règlementaires de l'article 179 de la LTECV, la maille territoriale la plus fine autorisée est la maille IRIS, et le pas temporel est annuel.;2022-10-18T18:05:57+02:00;EDF SA;Corse et/ou Outre Mer
Production d’électricité par filière et coûts de production au pas horaire;http://opendata-corse-outremer.edf.fr/explore/dataset/courbe-de-charge-de-la-production-delectricite-par-filiere/;Chaque mois, les informations relatives à la production d'électricité  par filière sont établies à partir de données de comptage, de télémesures ainsi que  des estimations.  	  Les informations relatives au coût constaté de production concernent  une moyenne de l’ensemble des moyens de production (toutes filières  confondues).  Cette information est différente du coût marginal horaire du système, qui correspondrait en première approche au coût variable du moyen dispatchable le plus cher démarré. Ces coûts ne sont donc en particulier pas comparables aux coûts marginaux prospectifs publiés par la CRE.  A ce jour, les données 2016 à 2021 sont validées alors que les données 2021 sont estimées.  Le fuseau horaire des données est celui de la France métropolitaine (UTC+1 en hiver / UTC+2 en été);2022-04-19T13:53:30+02:00;EDF SA;Corse et/ou Outre Mer
Signal réseau Guadeloupe - Recharge véhicule électrique;http://opendata-corse-outremer.edf.fr/explore/dataset/signal-reseau-guadeloupe-recharge-vehicule-electrique/;"Les spécificités du système électrique  insulaire de la Guadeloupe   incitent à prendre des précautions concernant le  développement de la   mobilité électrique.   EDF en Guadeloupe propose ainsi, à travers  ce  jeu de données, un signal réseau  afin d'inciter le pilotage   intelligent de la recharge des véhicules  électriques en : 
Évitant les périodes de contraintes sur le réseau, et notamment la pointe de consommation du soirDiminuant    l’impact CO2 en favorisant la recharge pendant les heures où le mix    électrique est moins carboné (heures solaires principalement) La valeur 1 signifie que le créneau est favorable et que le recharge est conseillée.    La valeur 0 signifie que le créneau est défavorable et que la recharge est à éviter si possible.  Le fuseau horaire des données est celui de la Guadeloupe (UTC-4)  Une authentification (compte) est nécessaire pour l'utilisation régulière  de l'API, en particulier dans le cadre du programme ADVENIR ZNI (voir  pièce-jointe). Vous pouvez adresser vos questions à l'adresse suivante : sei-opendata@edf.fr";2022-02-08T18:17:10+01:00;EDF SA;Corse et/ou Outre Mer
Signal réseau Réunion - Recharge véhicule électrique;http://opendata-corse-outremer.edf.fr/explore/dataset/signal-reseau-reunion-recharge-vehicule-electrique/;Les spécificités du système électrique  insulaire de la Réunion incitent à prendre des précautions concernant le  développement de la mobilité électrique.   EDF à la Réunion propose ainsi, à travers ce jeu de données, un signal réseau  afin d'inciter le pilotage intelligent de la recharge des véhicules  électriques en : Évitant les périodes de contraintes sur le réseau, et notamment la pointe de consommation du soirDiminuant  l’impact CO2 en favorisant la recharge pendant les heures où le mix  électrique est moins carboné (heures solaires principalement) La valeur 1 signifie que le créneau est favorable et que le recharge est conseillée.    La valeur 0 signifie que le créneau est défavorable et que la recharge est à éviter si possible.  Le fuseau horaire des données est celui de l'île de la Réunion (UTC+4)  Une authentification (compte) est nécessaire pour l'utilisation régulière  de l'API, en particulier dans le cadre du programme ADVENIR ZNI (voir  pièce-jointe). Vous pouvez adresser vos questions à l'adresse suivante : sei-opendata@edf.fr;2022-02-08T18:14:47+01:00;EDF SA;Corse et/ou Outre Mer
Postes sources - Corse;http://opendata-corse-outremer.edf.fr/explore/dataset/postes-sources/;"Ce
jeu de données représente la position des postes source sur l’ensemble du
réseau électrique exploité par EDF en Corse.
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:12:32+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTB aérien) - Guyane;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-htb-aerien-guy/;"Ce jeu de données présente l'ensemble des lignes haute tension (HTB)
aériennes de la Guyane. 
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:03:24+01:00;EDF SA;Corse et/ou Outre Mer
Lignes basse tension (BT souterrain) - Guyane;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-basse-tension-bt-souterrain/;"Ce
jeu de données présente l'ensemble des lignes basse tension (BT) souterraines
de la Guyane.
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:01:12+01:00;EDF SA;Corse et/ou Outre Mer
Lignes basse tension (BT souterrain) - Corse;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-basse-tension-bt-souterrain0/;"Ce
jeu de données présente l'ensemble des lignes basse tension (BT) souterraines de Corse. 
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:55:16+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTB souterrain) - Guadeloupe;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-htb-souterrain-gua/;"Ce jeu de données présente l'ensemble des lignes haute tension (HTB) souterraines
de Guadeloupe.

Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées régulièrement.";2022-02-08T17:53:32+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTA aérien) - Guadeloupe;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-hta-aerien-gua/;"Ce
jeu de données présente l'ensemble des lignes haute tension (HTA) aériennes de Guadeloupe. 
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:52:56+01:00;EDF SA;Corse et/ou Outre Mer
Lignes basse tension (BT aérien) - Guadeloupe;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-basse-tension-bt-aerien-gua/;"Ce
jeu de données présente l'ensemble des lignes basse tension (BT) aériennes de Guadeloupe. 
Ces données sont publiées à titre purement indicatif, EDF ne peut
garantir leur exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:51:33+01:00;EDF SA;Corse et/ou Outre Mer
Lignes haute tension (HTB aérien) - Réunion;http://opendata-corse-outremer.edf.fr/explore/dataset/lignes-haute-tension-htb-aerien-run/;"Ce jeu de données présente l'ensemble des lignes haute tension (HTB) aériennes de l'île de la Réunion.   Ces
 données sont publiées  à titre purement indicatif, EDF ne peut garantir
 leur exactitude et  leur exhaustivité. Des mises à jour seront publiées
 régulièrement.";2022-02-08T17:46:46+01:00;EDF SA;Corse et/ou Outre Mer
Postes sources - Réunion;http://opendata-corse-outremer.edf.fr/explore/dataset/postes-sources-run/;"Ce
jeu de données représente la position des postes source sur l’ensemble du
réseau électrique exploité par EDF sur l'île de la Réunion. 
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:44:59+01:00;EDF SA;Corse et/ou Outre Mer
Postes Sources - Martinique;http://opendata-corse-outremer.edf.fr/explore/dataset/postes-sources-mar/;"Ce
jeu de données représente la position des postes source sur l’ensemble du
réseau électrique exploité par EDF en Martinique.
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T17:40:44+01:00;EDF SA;Corse et/ou Outre Mer
;;;;EDF SA;Corse et/ou Outre Mer
Consommation annuelle par commune;http://opendata-corse-outremer.edf.fr/explore/dataset/consommation-annuelle-par-commune-new/;"Ce jeu de données inclut la consommation d'électricité annuelle et le nombre de points de livraison par commune, avec distinction selon le secteur d'activité (résidentiel, tertiaire, industrie, agriculture, ou non affecté) Des données plus détaillées (IRIS, EPCI, NAF...) sont mise
à disposition par EDF SEI via le portail du Ministère de la transition
écologique (Sous-Direction des statistiques de l'énergie) : https://www.statistiques.developpement-durable.gouv.fr/donnees-locales-de-consommation-denergie";2022-10-26T11:02:34+02:00;EDF SA;Corse et/ou Outre Mer
File d'attente producteur;http://opendata-corse-outremer.edf.fr/explore/dataset/file-dattente-producteur/;File d'attente de raccordement des producteurs par filière incluant le nombre d'installations et la puissance (en MW) avec le détail du niveau de tension concerné (basse tension : BT, moyenne tension : HTA et haute tension : HTB)   Mise à jour : 24/06/2022;2022-10-21T12:29:05+02:00;EDF SA;Corse et/ou Outre Mer
Registre des installations de production et de stockage (Déprécié);http://opendata-corse-outremer.edf.fr/explore/dataset/registre-des-installations-de-production-et-de-stockage/;"ATTENTION : ce jeu de données est déprécié. Merci de consulter la version à jour ici : https://opendata-corse-outremer.edf.fr/explore/dataset/registre-des-installations-de-production-et-de-stockage-d-electricite/   ----------   Parc détaillé des installations de production et de stockage d’électricité contenant notamment les informations suivantes :  
Nom de l’installationDépartement et commune du point de livraison de l’installation Filière de l’installationPuissance active maximale installéeDate de mise en service Pour les « petites » installations (< 36 kVA), une agrégation est réalisée par lot d'au moins 10 à la maille commune ou département.   Il s'agit de la situation au 31/12/2021.";2022-03-15T11:33:34+01:00;EDF SA;Corse et/ou Outre Mer
Postes HTA / BT - Réunion;http://opendata-corse-outremer.edf.fr/explore/dataset/postes-hta-bt-run/;"Ce
jeu de données représente la position des postes de distribution publique
(postes HTA/BT) sur l’ensemble du réseau de distribution exploité par EDF sur l'île de la Réunion.
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:22:19+01:00;EDF SA;Corse et/ou Outre Mer
Postes sources - Guadeloupe;http://opendata-corse-outremer.edf.fr/explore/dataset/postes-sources-gua/;"Ce
jeu de données représente la position des postes sources sur l’ensemble du
réseau électrique exploité par EDF en Guadeloupe.
Ces
données sont publiées à titre purement indicatif, EDF ne peut garantir leur
exactitude et leur exhaustivité. Des mises à jour seront publiées
régulièrement.";2022-02-08T18:19:14+01:00;EDF SA;Corse et/ou Outre Mer
