Année;Consommation brute gaz (GWh PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (GWh PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (GWh PCS 0°C);Consommation brute électricité (GWh) - RTE;Consommation corrigée électricité (GWh) - RTE;Statut - RTE;Consommation brute totale (GWh)
2003;;;;;;468386;437090;Définitif;
2010;515211;Définitif;33950;Définitif;549161;513076;471398;Définitif;1062237
2012;460773;Définitif;30785;Définitif;491558;489515;476687;Définitif;981073
2016;463542;Définitif;27848;Définitif;491390;483227;478846;Définitif;974617
2021;444385;Définitif;27501;Définitif;471886;472147;467977;Consolidé;944033
2001;;;;;;449904;423979;Définitif;
2009;;;;;;486690;461453;Définitif;
2017;465331;Définitif;28298;Définitif;493629;482015;479895;Définitif;975644
2002;;;;;;451117;432102;Définitif;
2006;;;;;;478383;455489;Définitif;
2007;;;;;;480392;462640;Définitif;
2013;467185;Définitif;31508;Définitif;498693;494841;480453;Définitif;993534
2014;389936;Définitif;27030;Définitif;416966;465155;478391;Définitif;882121
2015;421395;Définitif;28186;Définitif;449581;476057;480617;Définitif;925638
2019;451253;Définitif;27623;Définitif;478876;473747;476522;Définitif;952623
2004;;;;;;479568;444949;Définitif;
2005;;;;;;483210;448144;Définitif;
2008;;;;;;494547;468854;Définitif;
2011;447538;Définitif;27381;Définitif;474919;478788;476369;Définitif;953707
2018;442457;Définitif;27838;Définitif;470295;478436;479814;Définitif;948731
2020;418861;Définitif;25454;Définitif;444315;449384;461580;Définitif;893699
