tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;categorie;group;indicateur;indicator;valeur;unite;methode_d_integration;integration_method;commentaire;comment
2;2021;EDF SA + Framatome;EDF SA + Framatome;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs de Faible et Moyenne Activité (FMA);Low and intermediate-level radioactive waste (LILW);622.0;m³;Intégration Globale;Full consolidation;La production et l'évacuation des déchets issus de la déconstruction dépendent de la quantité de chantiers et ne sont donc pas constantes au fil des années. EDF SA (DPNT) + Framatome - Données validées par les auditeurs par un contrôle de cohérence.;The production and evacuation of waste from deconstruction depend on the quantity of building sites and are thus not constant over the years. EDF SA (DPNT) + Framatome - Data validated by auditors through a consistancy check.
9;2021;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Déchets radioactifs;Nuclear waste;Déchets radioactifs à Moyenne Activité générés;Intermediate-level generated radioactive waste;161.0;m³;Intégration Globale;Full consolidation;;
14;2021;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Rejet d'effluents radioactifs dans l'eau;Radioactive effluents released into water;Tritium;Tritium;15.668;TBq/unité op;Intégration Globale;Full consolidation;;
24;2020;EDF SA + Framatome;EDF SA + Framatome;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs de Très Faible Activité (TFA);Very low-level radioactive waste (VLLW);2006.8;m³;Intégration Globale;Full consolidation;;
29;2020;Framatome;Framatome;États-Unis;United States of America;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs classe A - Etats-Unis;Solid class A - USA;377.8;m³;Intégration Globale;Full consolidation;;
32;2020;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Déchets radioactifs;Nuclear waste;Déchets radioactifs à Moyenne Activité générés;Intermediate-level generated radioactive waste;161.0;m³;Intégration Globale;Full consolidation;Données validées par les auditeurs par le biais d'un contrôle de cohérence.;Data validated by auditors through a consistancy check.
33;2019;EDF SA + Framatome;EDF SA + Framatome;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs de Très Faible Activité (TFA);Very low-level radioactive waste (VLLW);2481.0;m³;Intégration Globale;Full consolidation;;
36;2019;EDF SA;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Mainland France, without Corsica and the islands of ponant;Déchets radioactifs d'activité;Operational nuclear waste;Déchets radioactifs solides de Faible et Moyenne Activité à vie courte;Solid low- and intermediate-level short-lived radioactive waste;5734.0;m³;Intégration Globale;Full consolidation;;
39;2019;Framatome;Framatome;Belgique;Belgium;Déchets radioactifs de déconstruction & industriel;Nuclear waste from decommissioning & industrial operations;Déchets radioactifs classe A - Belgique;Solid class A - Belgium;87.0;m³;Intégration Globale;Full consolidation;;
50;2018;EDF ENERGY UK;EDF ENERGY UK;Royaume-Uni;United Kingdom;Déchets radioactifs;Nuclear waste;Déchets radioactifs à Moyenne Activité générés;Intermediate-level generated radioactive waste;161.0;m³;Intégration Globale;Full consolidation;;
