identifiant;status;type;filiere;nom;numero_de_version;date_de_publication;date_de_debut;date_de_fin;cause;information_complementaire;puissance_maximale_mw;puissance_disponible_mw
05470_EDF_T_00086527;Active;Planifiée;Nucléaire;TRICASTIN 3;2;2022-11-21T07:06:16+01:00;2022-11-21T00:43:00+01:00;2022-11-24T23:30:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : 804 MW --------------------------------------------------------------------------------- Unit is currently ramping up by steps Next step : 804 MW;915.0;363.0
05470_EDF_T_00086246;Active;Planifiée;Nucléaire;BUGEY 2;5;2022-11-21T05:06:18+01:00;2022-11-15T03:00:00+01:00;2022-11-25T13:00:00+01:00;Maintenance prévisionnelle;;910.0;0.0
05470_EDF_T_00086527;Inactive;Planifiée;Nucléaire;TRICASTIN 3;1;2022-11-21T00:51:17+01:00;2022-11-21T00:43:00+01:00;2022-11-24T23:30:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : 380MW --------------------------------------------------------------------------------- Unit is currently ramping up by steps Next step : 380MW;915.0;40.0
05470_EDF_T_00035708;Active;Planifiée;Nucléaire;TRICASTIN 3;30;2022-11-20T23:12:14+01:00;2022-03-12T00:00:00+01:00;2022-11-21T01:00:00+01:00;Informations complémentaires;After its restart, the plant will gradually return by various load threshold to full power. The ramp-up period will take at least 48 hours. First threshold after restart : 383 MW ----------------------------------------------------------------------- Après son recouplage, la tranche remontera progressivement par palier de charge à sa pleine puissance. La remontée durera au moins 48h. Premier palier à atteindre : 383 MW;915.0;0.0
05470_EDF_T_00086154;Active;Planifiée;Nucléaire;BUGEY 4;25;2022-11-20T18:12:17+01:00;2022-11-13T05:14:00+01:00;2022-11-21T00:30:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : PMD ------------------------------------------------- Unit is currently ramping up by steps Next step : PMD;880.0;734.0
05470_EDF_T_00086514;Active;Chronique;Nucléaire;TRICASTIN 4;2;2022-11-20T16:36:16+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 180MW; 07h25 : 180MW; 07h30 : 923MW; 14h55 : 923MW; 15h00 : 450MW; 15h25 : 450MW; 15h30 : 0MW; 15h55 : 0MW; 16h00 : -25MW; 23h55 : -25MW 22/11/2022 00h00 : -25MW; 02h25 : -25MW; 02h30 : 0MW; 02h55 : 0MW; 03h00 : 450MW; 03h25 : 450MW; 03h30 : 942MW; 03h55 : 942MW; 04h00 : 180MW; 23h55 : 180MW";;
05470_EDF_T_00086154;Inactive;Planifiée;Nucléaire;BUGEY 4;24;2022-11-20T16:12:20+01:00;2022-11-13T05:14:00+01:00;2022-11-20T23:15:00+01:00;Informations complémentaires;Remontée par paliers en cours Prochain palier : PMD ------------------------------------------------- Unit is currently ramping up by steps Next step : PMD;880.0;734.0
05470_EDF_T_00086522;Active;Planifiée;Nucléaire;TRICASTIN 4;1;2022-11-20T15:45:56+01:00;2022-11-21T16:00:00+01:00;2022-11-22T03:00:00+01:00;Maintenance prévisionnelle;;915.0;0.0
05470_EDF_T_00086501;Active;Chronique;Nucléaire;GRAVELINES 1;2;2022-11-20T15:30:22+01:00;2022-11-21T00:00:00+01:00;2022-11-22T00:00:00+01:00;Informations complémentaires;"PMIN 21/11/2022 00h00 : 767MW; 07h25 : 767MW; 07h30 : 903MW; 16h55 : 903MW; 17h00 : 867MW; 23h55 : 867MW 22/11/2022 00h00 : 470MW; 06h25 : 470MW; 06h30 : 903MW; 14h55 : 903MW; 15h00 : 470MW; 23h55 : 470MW";;
05470_EDF_T_00086349;Active;Planifiée;Nucléaire;GRAVELINES 5;4;2022-11-20T15:00:35+01:00;2022-11-19T01:00:00+01:00;2022-11-20T16:00:00+01:00;Maintenance prévisionnelle;;910.0;0.0
