annee;tri;perimetre_juridique;perimetre_spatial;categorie;category;sous_categorie;sub_category;valeur;unite
2021;1.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Nucléaire;Nuclear;76.88;%
2021;2.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Fioul;Fuel;0.8;%
2021;4.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Hydraulique;Hydraulic;8.56;%
2021;5.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Charbon;Coal;0.81;%
2021;6.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Gaz;Gas;7.0;%
2021;7.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Autres Renouvelables;Other renewables;5.95;%
2021;8.0;EDF SA;France;Emission de CO2;CO2 Emission;CO2;CO2;45.15;g/kWh fourni
2021;9.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs;Radioactive waste;2.07;mg/kWh fourni
2020;10.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Nucléaire;Nuclear;74.5;%
2020;11.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Fioul;Fuel;0.4;%
2020;12.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Hydraulique;Hydraulic;7.2;%
2020;13.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Charbon;Coal;0.3;%
2020;14.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Gaz;Gas;7.7;%
2020;15.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Autres Renouvelables;Other renewables;9.9;%
2020;16.0;EDF SA;France;Emission de CO2;CO2 Emission;CO2;CO2;40.54;g/kWh fourni
2020;17.0;EDF SA;France;Déchets radioactifs;Radioactive waste;Déchets radioactifs;Radioactive waste;2.01;mg/kWh fourni
2019;18.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Nucléaire;Nuclear;87.7;%
2019;19.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Fioul;Fuel;1.1;%
2019;20.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Hydraulique;Hydraulic;5.6;%
2019;21.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Charbon;Coal;0.6;%
2019;22.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Gaz;Gas;3.5;%
2019;23.0;EDF SA;France;Source d'énergie d'électricité fournie;Energy source of electricity supplied;Autres Renouvelables;Other renewables;1.5;%
