tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;production;unite;methode_de_consolidation;consolidation_method
1;2021;Groupe;Group;Afrique du Sud;South Africa;Eolienne;Wind;Electrique;Electric;180.968205599999;GWh;Nette;Net
2;2021;Groupe;Group;Allemagne;Germany;Eolienne;Wind;Electrique;Electric;219.07617;GWh;Nette;Net
3;2021;Groupe;Group;Allemagne;Germany;Hydraulique;Hydraulic;Electrique;Electric;396.932;GWh;Nette;Net
4;2021;Groupe;Group;Belgique;Belgium;Hydraulique;Hydraulic;Electrique;Electric;193.371888;GWh;Nette;Net
5;2021;Groupe;Group;Belgique;Belgium;Gaz;Gas;Electrique;Electric;1742.851987;GWh;Nette;Net
6;2021;Groupe;Group;Belgique;Belgium;Eolienne;Wind;Electrique;Electric;733.0635422;GWh;Nette;Net
7;2021;Groupe;Group;Belgique;Belgium;Solaire;Solar;Electrique;Electric;1.557901;GWh;Nette;Net
8;2021;Groupe;Group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;52.838237;GWh;Nette;Net
9;2021;Groupe;Group;Belgique;Belgium;Nucléaire;Nuclear;Electrique;Electric;6352.035127;GWh;Nette;Net
10;2021;Groupe;Group;Brésil;Brazil;Gaz;Gas;Electrique;Electric;7134.569485;GWh;Nette;Net
11;2021;Groupe;Group;Brésil;Brazil;Hydraulique;Hydraulic;Electrique;Electric;711.3072;GWh;Nette;Net
12;2021;Groupe;Group;Brésil;Brazil;Eolienne;Wind;Electrique;Electric;1705.101015;GWh;Nette;Net
13;2021;Groupe;Group;Brésil;Brazil;Solaire;Solar;Electrique;Electric;388.512325;GWh;Nette;Net
14;2021;Groupe;Group;Canada;Canada;Eolienne;Wind;Electrique;Electric;2037.8922;GWh;Nette;Net
15;2021;Groupe;Group;Canada;Canada;Solaire;Solar;Electrique;Electric;47.879;GWh;Nette;Net
16;2021;Groupe;Group;République populaire de Chine;People's Republic of China;Nucléaire;Nuclear;Electrique;Electric;5546.1;GWh;Nette;Net
17;2021;Groupe;Group;République populaire de Chine;People's Republic of China;Charbon;Coal;Electrique;Electric;9303.182;GWh;Nette;Net
18;2021;Groupe;Group;République populaire de Chine;People's Republic of China;Eolienne;Wind;Electrique;Electric;727.422721599999;GWh;Nette;Net
19;2021;Groupe;Group;République populaire de Chine;People's Republic of China;Solaire;Solar;Electrique;Electric;107.96545;GWh;Nette;Net
20;2021;Groupe;Group;République populaire de Chine;People's Republic of China;Biomasse;Biomass;Electrique;Electric;103.35;GWh;Nette;Net
21;2021;Groupe;Group;Espagne;Spain;Gaz;Gas;Electrique;Electric;38.3074229948852;GWh;Nette;Net
22;2021;Groupe;Group;Espagne;Spain;Solaire;Solar;Electrique;Electric;1.66692764197755;GWh;Nette;Net
23;2021;Groupe;Group;Espagne;Spain;Gaz;Gas;Chaleur;Heat;175.447433705546;GWh;Nette;Net
24;2021;Groupe;Group;France;France;Nucléaire;Nuclear;Electrique;Electric;354394.205;GWh;Nette;Net
25;2021;Groupe;Group;France;France;Charbon;Coal;Electrique;Electric;3097.606;GWh;Nette;Net
26;2021;Groupe;Group;France;France;Fioul;Fioul;Electrique;Electric;5218.7929;GWh;Nette;Net
